Date,Open,High,Low,Close,Adj Close,Volume
2014-12-15,3.930000,4.050000,3.820000,3.830000,3.830000,2774500
2014-12-16,3.790000,3.980000,3.780000,3.890000,3.890000,2675700
2014-12-17,3.870000,3.980000,3.850000,3.960000,3.960000,2685300
2014-12-18,4.000000,4.190000,3.980000,4.120000,4.120000,4069100
2014-12-19,4.110000,4.150000,3.930000,4.030000,4.030000,5142800
2014-12-22,4.040000,4.220000,4.010000,4.120000,4.120000,2951000
2014-12-23,4.130000,4.210000,4.070000,4.110000,4.110000,2340500
2014-12-24,4.110000,4.140000,4.050000,4.070000,4.070000,770400
2014-12-26,4.070000,4.160000,4.040000,4.100000,4.100000,1556600
2014-12-29,4.080000,4.200000,4.080000,4.100000,4.100000,1455900
2014-12-30,4.070000,4.130000,3.960000,4.010000,4.010000,1663400
2014-12-31,4.010000,4.030000,3.860000,3.900000,3.900000,2074500
2015-01-02,3.900000,4.080000,3.840000,4.050000,4.050000,3609300
2015-01-05,4.000000,4.060000,3.900000,3.950000,3.950000,1789200
2015-01-06,3.960000,4.010000,3.800000,3.840000,3.840000,2098500
2015-01-07,3.870000,3.920000,3.800000,3.850000,3.850000,1293600
2015-01-08,3.870000,3.980000,3.820000,3.830000,3.830000,2041900
2015-01-09,3.840000,3.890000,3.750000,3.780000,3.780000,2357200
2015-01-12,3.770000,3.820000,3.630000,3.640000,3.640000,2613400
2015-01-13,3.660000,3.740000,3.500000,3.570000,3.570000,2598600
2015-01-14,3.500000,3.570000,3.460000,3.540000,3.540000,1674100
2015-01-15,3.540000,3.610000,3.330000,3.360000,3.360000,2413000
2015-01-16,3.340000,3.480000,3.270000,3.450000,3.450000,2740500
2015-01-20,3.440000,3.540000,3.370000,3.510000,3.510000,1817600
2015-01-21,3.490000,3.520000,3.320000,3.410000,3.410000,1787600
2015-01-22,3.430000,3.470000,3.330000,3.450000,3.450000,1442200
2015-01-23,3.450000,3.570000,3.410000,3.520000,3.520000,1307500
2015-01-26,3.510000,3.660000,3.500000,3.650000,3.650000,1993600
2015-01-27,3.590000,3.650000,3.540000,3.650000,3.650000,1634100
2015-01-28,3.650000,3.680000,3.520000,3.540000,3.540000,1573500
2015-01-29,3.560000,3.580000,3.420000,3.560000,3.560000,1933000
2015-01-30,3.540000,3.590000,3.490000,3.510000,3.510000,1200400
2015-02-02,3.530000,3.590000,3.470000,3.590000,3.590000,1541500
2015-02-03,3.610000,3.700000,3.550000,3.610000,3.610000,2588400
2015-02-04,3.590000,3.870000,3.560000,3.840000,3.840000,8289500
2015-02-05,4.560000,5.050000,4.370000,5.020000,5.020000,26570600
2015-02-06,4.920000,5.120000,4.820000,5.060000,5.060000,8883600
2015-02-09,4.960000,5.160000,4.910000,5.080000,5.080000,7479400
2015-02-10,5.080000,5.130000,4.970000,5.030000,5.030000,5052200
2015-02-11,4.990000,5.070000,4.950000,4.970000,4.970000,4435400
2015-02-12,5.000000,5.150000,4.960000,4.980000,4.980000,4376800
2015-02-13,5.000000,5.160000,5.000000,5.120000,5.120000,3523800
2015-02-17,5.110000,5.340000,5.080000,5.230000,5.230000,3659900
2015-02-18,5.230000,5.300000,5.040000,5.120000,5.120000,3180600
2015-02-19,5.130000,5.190000,5.080000,5.150000,5.150000,1676000
2015-02-20,5.130000,5.160000,5.090000,5.110000,5.110000,1393200
2015-02-23,5.080000,5.220000,5.070000,5.110000,5.110000,1899700
2015-02-24,5.110000,5.190000,5.090000,5.160000,5.160000,2148100
2015-02-25,5.170000,5.200000,5.110000,5.160000,5.160000,1989100
