Date,Open,High,Low,Close,Adj Close,Volume
2014-12-15,7.280000,7.300000,7.020000,7.080000,6.224725,1201200
2014-12-16,7.120000,7.450000,7.100000,7.260000,6.382982,1776500
2014-12-17,7.300000,7.460000,7.290000,7.430000,6.532445,1294500
2014-12-18,7.470000,7.740000,7.450000,7.690000,6.761035,1510300
2014-12-19,7.520000,7.630000,7.520000,7.610000,6.690701,1334200
2014-12-22,7.610000,7.690000,7.580000,7.690000,6.761035,991700
2014-12-23,7.590000,7.620000,7.550000,7.600000,6.681909,840400
2014-12-24,7.590000,7.750000,7.560000,7.690000,6.761035,399700
2014-12-26,7.660000,7.710000,7.640000,7.660000,6.734660,371400
2014-12-29,7.560000,7.640000,7.550000,7.590000,6.673118,830700
2014-12-30,7.550000,7.580000,7.530000,7.540000,6.629157,664700
2014-12-31,7.530000,7.600000,7.450000,7.470000,6.567612,394400
2015-01-02,7.490000,7.570000,7.450000,7.550000,6.637949,849500
2015-01-05,7.420000,7.440000,7.270000,7.370000,6.479693,1404600
2015-01-06,7.380000,7.390000,7.200000,7.270000,6.391773,1066200
2015-01-07,7.350000,7.480000,7.320000,7.440000,6.541237,1376100
2015-01-08,7.460000,7.680000,7.450000,7.630000,6.708285,1947000
2015-01-09,7.680000,7.690000,7.500000,7.650000,6.725869,2077800
2015-01-12,7.620000,7.720000,7.530000,7.650000,6.725869,1358400
2015-01-13,7.550000,7.730000,7.500000,7.550000,6.637949,1990800
2015-01-14,7.630000,7.740000,7.610000,7.700000,6.769829,4575000
2015-01-15,7.710000,7.740000,7.620000,7.680000,6.752244,1667600
2015-01-16,7.660000,7.810000,7.590000,7.800000,6.857748,1394800
2015-01-20,7.880000,7.940000,7.820000,7.910000,6.954460,2930700
2015-01-21,7.900000,8.050000,7.880000,8.040000,7.068757,995200
2015-01-22,7.990000,8.150000,7.960000,8.130000,7.147885,5479100
2015-01-23,8.100000,8.280000,8.080000,8.190000,7.200635,4206400
2015-01-26,8.420000,8.570000,8.390000,8.520000,7.490772,1774200
