Date,SMM-MIN-TGB,SMM-MIN-TUCBDCH,SMM-MIN-TUCBDFB,SMM-MIN-TUPWDCH,SMM-MIN-TUPWDFB
2017-06-21,,,,,28.5
2017-06-22,,200.0,27.5,202.0,28.5
2017-06-23,,199.0,27.5,201.0,28.5
2017-06-26,,199.0,27.5,201.0,28.5
2017-06-27,,199.0,27.5,201.0,28.5
2017-06-28,,198.5,27.5,200.5,28.5
2017-06-29,250.0,198.5,27.5,200.5,28.5
2017-06-30,242.5,198.0,27.5,200.0,28.5
2017-07-03,242.5,198.0,27.5,200.0,28.5
2017-07-04,242.5,198.0,27.5,200.0,28.5
2017-07-05,242.5,198.0,27.5,200.0,28.5
2017-07-06,242.5,198.0,27.5,200.0,28.5
2017-07-07,242.5,198.0,27.5,200.0,28.5
2017-07-10,242.5,198.0,27.5,200.0,28.5
2017-07-11,242.5,198.0,27.5,200.0,28.5
2017-07-12,242.5,,,,
2017-07-13,242.5,198.0,27.5,200.0,28.5
2017-07-14,242.5,198.0,27.5,200.0,28.5
2017-07-17,242.5,200.0,27.5,202.0,28.5
2017-07-18,242.5,200.0,27.5,202.0,28.5
2017-07-19,242.5,200.0,27.5,202.0,28.5
2017-07-20,242.5,200.0,27.5,202.0,28.5
2017-07-21,245.0,200.0,27.5,202.0,28.5
2017-07-24,247.5,203.0,28.5,205.0,29.5
2017-07-25,247.5,204.5,28.5,206.5,29.5
2017-07-26,247.5,204.5,28.5,206.5,29.5
2017-07-27,247.5,206.0,28.5,208.0,29.5
2017-07-28,247.5,208.0,28.5,210.0,29.5
2017-07-31,247.5,210.0,28.5,212.0,29.5
2017-08-01,247.5,210.0,28.5,212.0,29.5
2017-08-02,247.5,211.0,28.5,213.0,29.5
2017-08-03,255.0,213.0,28.5,215.0,29.5
2017-08-04,255.0,216.0,29.5,218.0,30.5
2017-08-07,255.0,218.0,29.5,220.0,30.5
2017-08-08,255.0,218.0,29.5,220.0,30.5
2017-08-09,255.0,218.0,29.5,220.0,30.5
2017-08-10,255.0,219.0,29.5,221.0,30.5
2017-08-11,255.0,219.0,29.5,221.0,30.5
2017-08-14,255.0,221.0,29.5,223.0,30.5
2017-08-15,255.0,221.0,29.5,223.0,30.5
2017-08-16,255.0,221.0,29.5,223.0,30.5
2017-08-17,255.0,221.0,29.5,223.0,30.5
2017-08-18,260.0,223.5,29.5,225.5,30.5
2017-08-21,260.0,228.0,30.5,231.0,31.5
2017-08-22,265.0,230.0,30.5,233.0,31.5
2017-08-23,265.0,231.0,30.5,234.0,31.5
2017-08-24,270.0,231.0,30.5,234.0,31.5
2017-08-25,270.0,233.5,31.5,235.5,32.5
2017-08-28,270.0,235.5,31.5,237.5,32.5
2017-08-29,275.0,240.5,31.5,242.5,32.5
2017-08-30,277.5,244.0,33.5,246.0,34.5
2017-08-31,277.5,248.0,35.5,250.0,36.5
2017-09-01,287.5,259.5,37.5,261.5,39.0
2017-09-04,295.0,264.0,39.5,267.5,40.5
2017-09-05,295.0,267.5,40.5,270.5,41.5
2017-09-06,302.5,272.5,41.5,275.5,42.5
2017-09-07,302.5,277.5,41.5,280.5,42.5
2017-09-08,302.5,277.5,41.5,280.5,42.5
2017-09-11,302.5,277.5,41.5,280.5,42.5
2017-09-12,292.5,274.5,41.5,276.5,42.5
2017-09-13,292.5,274.5,41.5,276.5,42.5
2017-09-15,305.0,272.5,41.5,274.5,42.5
2017-09-18,305.0,272.5,41.5,274.5,42.5
2017-09-19,305.0,272.5,41.5,274.5,42.5
2017-09-20,305.0,272.5,41.5,274.5,42.5
2017-09-21,305.0,272.5,41.5,274.5,42.5
2017-09-22,305.0,272.5,41.5,274.5,42.5
2017-09-25,305.0,270.5,41.5,272.5,42.5
2017-09-26,305.0,267.5,41.5,270.0,42.5
2017-09-27,305.0,267.5,41.5,270.0,42.5
2017-09-28,305.0,267.5,41.5,270.0,42.5
2017-09-29,305.0,267.5,41.5,270.0,42.5
2017-10-09,305.0,267.5,41.5,270.0,42.5
2017-10-10,305.0,264.5,38.5,267.0,39.5
2017-10-11,305.0,261.5,35.5,267.0,36.5
2017-10-12,300.0,260.0,35.5,262.0,36.5
2017-10-13,300.0,260.0,35.5,261.0,36.5
2017-10-16,300.0,258.0,35.5,260.0,36.5
2017-10-17,300.0,258.0,37.5,260.0,38.5
2017-10-18,300.0,256.0,37.5,258.0,38.5
2017-10-19,300.0,256.0,37.5,258.0,38.5
2017-10-20,300.0,256.0,37.5,258.0,38.5
2017-10-23,300.0,255.0,37.5,257.0,38.5
2017-10-24,300.0,255.0,37.5,257.0,38.5
2017-10-25,300.0,255.0,37.5,257.0,38.5
2017-10-26,300.0,253.0,37.5,255.0,38.5
2017-10-27,300.0,252.0,37.5,254.0,38.5
2017-10-30,300.0,252.0,37.5,254.0,38.5
2017-10-31,300.0,252.0,37.5,254.0,38.5
2017-11-01,300.0,252.0,37.5,254.0,38.5
2017-11-02,295.0,250.0,37.5,252.0,38.5
2017-11-03,295.0,250.0,37.5,252.0,38.5
2017-11-06,295.0,250.0,37.5,252.0,38.5
2017-11-07,295.0,248.0,37.5,250.0,38.5
2017-11-08,295.0,248.0,37.5,250.0,38.5
2017-11-09,295.0,248.0,37.5,250.0,38.5
2017-11-10,295.0,248.0,37.5,250.0,38.5
2017-11-13,295.0,248.0,37.5,250.0,38.5
2017-11-14,295.0,248.0,37.5,250.0,38.5
2017-11-15,300.0,250.0,37.5,252.0,38.5
2017-11-16,300.0,252.0,37.5,254.0,38.5
2017-11-17,300.0,252.0,37.5,254.0,38.5
2017-11-20,300.0,254.0,37.5,256.0,38.5
2017-11-21,305.0,254.0,37.5,256.0,38.5
2017-11-22,305.0,256.0,37.5,258.0,38.5
2017-11-23,305.0,256.0,37.5,258.0,38.5
2017-11-24,305.0,256.0,37.5,258.0,38.5
2017-11-26,305.0,256.0,37.5,258.0,38.5
2017-11-27,305.0,256.0,37.5,258.0,38.5
2017-11-28,305.0,256.0,37.5,258.0,38.5
2017-11-29,305.0,256.0,37.5,258.0,38.5
2017-11-30,305.0,256.0,37.5,258.0,38.5
2017-12-01,305.0,256.0,37.5,258.0,38.5
2017-12-04,305.0,256.0,37.5,258.0,38.5
2017-12-05,307.5,259.0,37.5,261.0,38.5
2017-12-06,307.5,259.0,37.5,261.0,38.5
2017-12-07,307.5,260.0,37.5,262.0,38.5
2017-12-08,307.5,260.0,37.5,262.0,38.5
2017-12-11,307.5,260.0,37.5,262.0,38.5
2017-12-12,307.5,261.0,37.5,263.0,38.5
2017-12-13,307.5,262.0,37.5,264.0,38.5
2017-12-14,307.5,262.0,37.5,264.0,38.5
2017-12-15,307.5,262.0,37.5,264.0,38.5
2017-12-18,307.5,262.0,37.5,264.0,38.5
2017-12-19,312.5,264.0,37.5,266.0,38.5
2017-12-20,312.5,264.0,37.5,266.0,38.5
2017-12-21,312.5,264.0,37.5,266.0,38.5
2017-12-22,312.5,265.0,37.5,267.0,38.5
2017-12-25,312.5,265.0,37.5,267.0,38.5
2017-12-26,312.5,265.0,37.5,267.0,38.5
2017-12-27,312.5,265.0,37.5,267.0,38.5
2017-12-28,312.5,267.0,37.5,269.0,38.5
2017-12-29,312.5,267.0,37.5,269.0,38.5
2018-01-02,312.5,267.0,37.5,269.0,38.5
2018-01-03,312.5,269.0,37.5,271.0,38.5
2018-01-04,312.5,269.0,37.5,271.0,38.5
2018-01-05,312.5,269.0,37.5,271.0,38.5
2018-01-08,312.5,269.0,37.5,271.0,38.5
2018-01-09,312.5,269.0,37.5,271.0,38.5
2018-01-10,310.0,269.0,37.5,271.0,38.5
