,polarity,subjectivity,normalized
2018-09-20,0.09909989396907998,0.5137774176727665,1.0
2018-09-21,0.14880569800569798,0.40158357938357936,1.0
2018-09-22,0.0,0.0,0.0
2018-09-23,0.0,0.0,0.0
2018-09-24,0.04873776585733108,0.45340438546960277,-1.0
2018-09-25,0.0,0.0,0.0
2018-09-26,0.0,0.0,0.0
2018-09-27,0.1422155694233616,0.5094650431338742,1.0
2018-09-28,0.0,0.0,0.0
2018-09-29,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-10-02,0.0,0.0,0.0
2018-10-03,0.0,0.0,0.0
2018-10-04,0.0,0.0,0.0
2018-10-05,0.0,0.0,0.0
2018-10-06,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0
2018-10-08,0.0,0.0,0.0
2018-10-09,0.12012580880384718,0.4340462402735857,1.0
2018-10-10,0.21145833333333336,0.48916666666666664,1.0
2018-10-11,0.0,0.0,0.0
2018-10-12,0.0,0.0,0.0
2018-10-13,0.0,0.0,0.0
2018-10-14,0.0,0.0,0.0
2018-10-15,0.0,0.0,0.0
2018-10-16,0.0,0.0,0.0
2018-10-17,0.0,0.0,0.0
2018-10-18,0.0,0.0,0.0
2018-10-19,0.0,0.0,0.0
2018-10-20,0.0,0.0,0.0
2018-10-21,0.0,0.0,0.0
2018-10-22,0.07985813492063491,0.5078650793650794,0.0
2018-10-23,0.14395247113997114,0.4736790524290524,1.0
2018-10-24,0.1306278641724889,0.2962991135151379,1.0
2018-10-25,0.0,0.0,0.0
2018-10-26,0.0,0.0,0.0
2018-10-27,0.0,0.0,0.0
2018-10-28,0.0,0.0,0.0
2018-10-29,0.16463636363636364,0.5062878787878788,1.0
2018-10-30,0.1749700956937799,0.3895933014354067,0.5
2018-10-31,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-11-02,0.10116097569901916,0.3156653230022795,0.5
2018-11-03,0.22727272727272727,0.38181818181818183,1.0
2018-11-04,0.0,0.0,0.0
2018-11-05,0.05983044733044732,0.4028755715502704,1.0
2018-11-06,0.0,0.0,0.0
2018-11-07,0.0,0.0,0.0
2018-11-08,0.0692982456140351,0.4307017543859649,1.0
2018-11-09,0.0,0.0,0.0
2018-11-10,0.0,0.0,0.0
2018-11-11,0.0,0.0,0.0
2018-11-12,0.05243287461525818,0.4152621830456926,0.25
2018-11-13,0.04783705145829411,0.390697656790979,-0.16666666666666666
2018-11-14,0.0492477641630184,0.422499408940087,-0.5
2018-11-15,0.0,0.0,0.0
2018-11-16,0.0,0.0,0.0
2018-11-17,0.0,0.0,0.0
2018-11-18,0.0,0.0,0.0
2018-11-19,0.10401602071439027,0.41032151222368607,0.0
2018-11-20,0.0,0.0,0.0
2018-11-21,0.0,0.0,0.0
2018-11-22,0.0,0.0,0.0
2018-11-23,0.012002923976608166,0.38795321637426894,-1.0
2018-11-24,0.0,0.0,0.0
2018-11-25,0.0,0.0,0.0
2018-11-26,0.0,0.0,0.0
2018-11-27,0.04795347341337908,0.3739078596290612,0.0
2018-11-28,0.0,0.0,0.0
2018-11-29,0.0,0.0,0.0
2018-11-30,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2018-12-02,0.0,0.0,0.0
2018-12-03,0.17799285438613502,0.4858493187569273,1.0
2018-12-04,0.06927219882818185,0.39279425017333275,0.0
2018-12-05,0.0,0.0,0.0
2018-12-06,0.0016451277480689364,0.3366013071895425,-1.0
2018-12-07,0.01247082701398035,0.3438906076779749,-1.0
2018-12-08,0.0,0.0,0.0
2018-12-09,0.011283845198070151,0.3432328144969921,-1.0
2018-12-10,0.06564935064935065,0.2938806431663574,1.0
2018-12-11,0.0,0.0,0.0
2018-12-12,0.0,0.0,0.0
2018-12-13,0.0,0.0,0.0
2018-12-14,0.0,0.0,0.0
2018-12-15,0.0,0.0,0.0
2018-12-16,0.0,0.0,0.0
2018-12-17,0.0,0.0,0.0
2018-12-18,0.0,0.0,0.0
2018-12-19,0.040542828331048913,0.3660299709109228,-1.0
2018-12-20,0.0,0.0,0.0
2018-12-21,0.10433683733648295,0.4150827092756575,1.0
2018-12-22,0.0,0.0,0.0
2018-12-23,0.0,0.0,0.0
2018-12-24,0.0,0.0,0.0
2018-12-25,0.0,0.0,0.0
2018-12-26,0.0,0.0,0.0
2018-12-27,0.0,0.0,0.0
2018-12-28,0.0,0.0,0.0
2018-12-29,0.0,0.0,0.0
2018-12-30,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0
2019-01-02,-0.04738071694387483,0.46098039796460855,0.0
2019-01-03,0.11537209919709922,0.45148269878269875,0.3333333333333333
2019-01-04,0.1956773618538324,0.5185160427807487,1.0
2019-01-05,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0
2019-01-07,0.0,0.0,0.0
2019-01-08,0.0,0.0,0.0
2019-01-09,0.11979166666666669,0.5893740031897924,1.0
2019-01-10,0.0,0.0,0.0
2019-01-11,0.0,0.0,0.0
2019-01-12,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0
2019-01-14,0.0,0.0,0.0
2019-01-15,0.0,0.0,0.0
2019-01-16,0.0,0.0,0.0
2019-01-17,0.0,0.0,0.0
2019-01-18,0.0,0.0,0.0
2019-01-19,0.0,0.0,0.0
2019-01-20,0.0,0.0,0.0
2019-01-21,0.0,0.0,0.0
2019-01-22,0.0,0.0,0.0
2019-01-23,0.1223697199265381,0.2768137339302112,1.0
2019-01-24,0.04706171888375278,0.44131997945557283,-1.0
2019-01-25,0.1420882613193934,0.37746975142258155,1.0
2019-01-26,0.0,0.0,0.0
2019-01-27,0.0,0.0,0.0
2019-01-28,0.0,0.0,0.0
2019-01-29,0.1819212962962963,0.4151851851851851,1.0
2019-01-30,0.07812672859547859,0.466029791967292,1.0
2019-01-31,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0
2019-02-02,0.0,0.0,0.0
2019-02-03,0.0,0.0,0.0
2019-02-04,0.0,0.0,0.0
2019-02-05,0.07906541522632214,0.3795920558123579,1.0
2019-02-06,0.0,0.0,-1.0
2019-02-07,0.0,0.0,0.0
2019-02-08,0.0,0.0,0.0
2019-02-09,0.0,0.0,0.0
2019-02-10,0.0,0.0,0.0
2019-02-11,0.0,0.0,0.0
2019-02-12,0.0,0.0,0.0
2019-02-13,0.02968674843674844,0.4056577681577682,-1.0
2019-02-14,-0.051740901074234416,0.2797978194644862,0.2
2019-02-15,0.0,0.0,0.0
2019-02-16,0.0,0.0,0.0
2019-02-17,0.0,0.0,0.0
2019-02-18,0.0,0.0,0.0
2019-02-19,0.13158441357322817,0.3947135752206397,1.0
2019-02-20,0.05628861481400531,0.3680737036401105,1.0
2019-02-21,-0.06666666666666667,0.20000000000000004,0.0
2019-02-22,-0.06666666666666667,0.25,0.0
2019-02-23,0.0,0.0,0.0
2019-02-24,0.0,0.0,0.0
2019-02-25,0.07681549906948835,0.40112051604571464,1.0
2019-02-26,0.0,0.0,0.0
2019-02-27,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0
2019-03-02,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0
2019-03-04,0.0,0.0,0.0
2019-03-05,-0.05031328320802005,0.29360902255639093,0.0
2019-03-06,0.024791666666666667,0.30083333333333334,-1.0
2019-03-07,0.0,0.0,0.0
2019-03-08,0.0,0.0,0.0
2019-03-09,0.0,0.0,0.0
2019-03-10,0.0,0.0,0.0
2019-03-11,-0.0019965277777777794,0.34522569444444445,-1.0
2019-03-12,-0.02,0.2640625,-1.0
2019-03-13,0.0,0.0,0.0
2019-03-14,-0.05572727272727272,0.4239090909090909,0.0
2019-03-15,0.0,0.0,0.0
2019-03-16,0.0,0.0,0.0
2019-03-17,0.0,0.0,0.0
2019-03-18,0.13018486927385228,0.4125415780076795,1.0
2019-03-19,0.1858618520752848,0.385900099111836,1.0
2019-03-20,0.17296455938697317,0.45701628352490425,1.0
2019-03-21,-0.002979797979797985,0.4040025252525252,0.5
2019-03-22,0.0,0.0,0.0
2019-03-23,0.0,0.0,0.0
2019-03-24,0.0,0.0,0.0
2019-03-25,0.0,0.0,0.0
2019-03-26,0.0,0.0,0.0
