Date,pol_gol,pol_dell,pol_slvr,pol_slcn,pol_copper,pol_apple,Close_clopper,Close_gold,Close_Pall,Close_plat,applied_materials,taiwan_semiconductor,dell,hp,lenovo,arrow_electronics,avnet,synnex_corp,advanced_micro_divices,nvidia,qualcomn
10/12/18,0.0816208,0.090151218,0.100410787,0.142406792,0,0.082431423,2.8005,1222,1060.8,840,33.689999,39.66,52.325581,23.67,0.61,68.480003,40.470001,74.43,26.34,246.539993,64.290001
10/13/18,0,0,0,0,0,0,0,0,0,0,33.689999,39.66,52.325581,23.67,0.61,68.480003,40.470001,74.43,26.34,246.539993,64.290001
10/14/18,0,0,0,0,0,0,0,0,0,0,33.43,38.75,52.602436,23.559999,0.63,68.220001,40.790001,75.199997,26.26,235.380005,64.169998
10/15/18,0,0,0,0,0,0,2.7805,1226.4,1096.2,842.5,33.43,38.75,52.602436,23.559999,0.63,68.220001,40.790001,75.199997,26.26,235.380005,64.169998
10/16/18,0.095045635,0.032958153,0,0.079773828,0,0.098218758,2.7795,1231,1073.9,846.7,34.759998,40.009998,52.967884,23.959999,0.65,70.540001,41.77,78.330002,28.18,245.830002,66.120003
10/17/18,0.116024929,0.065384425,0.206619597,0.18121177,0,0.037779636,2.778,1227.4,1067.6,840.6,34.959999,39.57,52.657806,23.870001,0.65,70.150002,41.799999,78.559998,27.299999,243.059998,66.099998
10/18/18,0.077702704,0.11238615,0,0.192045455,0,0.083333584,2.7465,1230.1,1064.7,831.7,33.919998,38.540001,52.320045,23.77,0.68,68.760002,41.310001,77.669998,26.620001,239.529999,65.150002
10/19/18,0.10337177,0.04869898,0.206619597,0.135192084,0,-0.038944444,2.778,1228.7,1069.9,836,34.290001,38.450001,51.92691,23.84,0.64,68.220001,41.029999,78.519997,23.66,229.169998,65.360001
10/20/18,,,,,,,,,,,34.290001,38.450001,51.92691,23.84,0.64,68.220001,41.029999,78.519997,23.66,229.169998,65.360001
10/21/18,,,,,,,,,,,33.529999,38.720001,52.44186,24.110001,0.63,68.559998,41.220001,80.419998,25.030001,231.220001,66.120003
10/22/18,0.114906306,0.006882716,0,0.125319227,0.079858135,0.036859114,2.7855,1224.6,1107.7,822.5,33.529999,38.720001,52.44186,24.110001,0.63,68.559998,41.220001,80.419998,25.030001,231.220001,66.120003
10/23/18,0.054518134,0.115175838,0.081641275,0.055246348,0.143952471,-0.030485039,2.758,1236.8,1122.8,835.4,33.52,38,51.423035,23.940001,0.62,68.32,40.68,81.599998,25.09,221.059998,66.379997
10/24/18,0.133513814,0.084633761,0.111805361,0.121477011,0.130627864,-0.003019829,2.7575,1231.1,1112.3,831.5,31.809999,36.48,49.750832,23.059999,0.62,65.040001,38.419998,76.769997,22.790001,199.410004,62.619999
10/25/18,0.168245207,0.114655172,0.163005566,0.064353072,0,0.133330909,2.7545,1232.4,1087.6,831.9,32.639999,37.389999,50.304539,23.790001,0.63,65.550003,38.619999,78.459999,19.27,207.839996,63.200001
10/26/18,0.103361708,-0.052857143,0.163236763,0.047839767,0,0.009675399,2.741,1235.8,1085.9,834.4,32.360001,36.669998,48.98671,23.129999,0.63,65.300003,37.299999,77.209999,17.629999,198.289993,62.48
10/27/18,,,,,,,,,,,32.360001,36.669998,48.98671,23.129999,0.63,65.300003,37.299999,77.209999,17.629999,198.289993,62.48
10/28/18,,,,,,,,,,,31.120001,36.330002,48.039867,23.02,0.61,64.860001,38.23,75.720001,16.85,185.619995,62.169998
10/29/18,0.054503764,0,0.145646168,0.250933442,0.164636364,0.109904151,2.7405,1227.6,1079.3,836.9,31.120001,36.330002,48.039867,23.02,0.61,64.860001,38.23,75.720001,16.85,185.619995,62.169998
10/30/18,0.1033657,0.075278942,0.195768039,0.14710015,0.174970096,0.125888867,2.664,1225.3,1055,839,32.419998,37.779999,49.102989,23.67,0.63,66.400002,39.060001,76.879997,17.200001,203,63.18
10/31/18,0,0,0,0,0,0,2.659,1215,1068.5,843,32.880001,38.099998,50.049835,24.139999,0.66,67.709999,40.07,77.610001,18.209999,210.830002,62.889999
11/1/18,0.107420494,0.021524158,0,0.14851135,0,0.053630817,2.7215,1238.6,1081.4,862.8,35.349998,39.049999,50.476189,24.49,0.66,70.650002,41.82,81.279999,20.219999,218.110001,63.709999
11/2/18,0.055247108,0.032142857,0.227272727,0.1165385,0.101160976,0.053877993,2.807,1233.3,1104.5,875.7,35.27,38.779999,50.487267,24.629999,0.69,74.980003,42.919998,81.849998,20.23,214.919998,63.330002
11/3/18,,,,,,,,,,,35.27,38.779999,50.487267,24.629999,0.69,74.980003,42.919998,81.849998,20.23,214.919998,63.330002
11/4/18,,,,,,,,,,,34.32,38.48,50.780731,24.639999,0.68,73.989998,43.18,81.18,19.9,211.770004,63.470001
11/5/18,-0.071328134,-0.009056638,0.148432392,0,0.059830447,0.065942057,2.756,1232.3,1121.6,869.4,34.32,38.48,50.780731,24.639999,0.68,73.989998,43.18,81.18,19.9,211.770004,63.470001
11/6/18,0.108960142,-0.008452381,0,0.152310255,0,0.069370726,2.7325,1226.3,1095.3,871.5,34.869999,38.73,50.996677,24.879999,0.67,74.419998,43.580002,80.260002,20.68,211.059998,63.630001
11/7/18,0.075555129,0.083275649,0,0,0,0.058182286,2.7545,1228.7,1120.7,878.8,35.25,39.18,54.186047,25.469999,0.73,75.220001,44,80.360001,21.84,213.789993,63.209999
11/8/18,0.083170323,0.054318182,0,0.141636669,0.069298246,0.045658085,2.736,1225.1,1116.1,870.3,34.939999,38.700001,54.77298,25.5,0.69,74.540001,43.939999,80.360001,21.200001,205.990005,58.049999
11/9/18,0.108748258,0.157498118,0,0.0207212,0,0.043039064,2.6845,1208.6,1097.5,856,34.279999,38.07,54.291252,25,0.74,74.330002,43.66,78.940002,21.030001,205.669998,56.720001
11/10/18,,,,,,,,,,,,,,,,,,,,,
11/11/18,,,,,,,,,,,,,,,,,,,,,
11/12/18,0.11677875,0.036670631,0,0.204691782,0.052432875,0.063504562,2.678,1201.3,1102.2,841.7,32.619999,37.060001,54.540421,23.99,0.72,72.879997,42.759998,77.370003,19.030001,189.539993,54.490002
11/13/18,0.015138215,0.08405008,0.191869919,0.09943218,0.047837051,0.083453783,2.687,1199.2,1092.1,837.1,33.490002,37.400002,56.240311,23.950001,0.75,73.75,43.360001,77.519997,19.610001,199.309998,54.16
11/14/18,0,0.208568598,0.034090909,0.107669505,0.049247764,0.044188321,2.71,1210.1,1110.2,833.8,33.580002,37.84,58.521595,23.73,0.75,72.43,41.91,75.980003,20.809999,197.190002,53.939999
11/15/18,0,0,0,0,0,0,2.7465,1215,1137.4,845.3,35.02,38.52,58.172756,24.17,0.73,74.540001,42.849998,78.459999,21.49,202.389999,55.389999
11/16/18,0.025366768,0.082536076,0.061013115,0.06308359,0,0.026848917,2.81,1223,1154.6,846.6,35.400002,36.869999,57.846069,24.16,0.74,75.050003,43.599998,78.739998,20.66,164.429993,55.880001
11/17/18,,,,,,,,,,,35.400002,36.869999,57.846069,24.16,0.74,75.050003,43.599998,78.739998,20.66,164.429993,55.880001
11/18/18,,,,,,,,,,,34.419998,36.049999,57.198227,23.549999,0.74,73.610001,42.91,76.440002,19.110001,144.699997,54.900002
11/19/18,0.134150707,0.219560674,0.136079192,0.074010188,0.104016021,0.082398483,2.8065,1225.3,1141.3,857.6,34.419998,36.049999,57.198227,23.549999,0.74,73.610001,42.91,76.440002,19.110001,144.699997,54.900002
11/20/18,0.044390005,0,0,0.102351097,0,0.054806774,2.7765,1221.2,1126.1,847,35.77,35.639999,56.832779,22.610001,0.74,71.760002,42.040001,74.029999,19.209999,149.080002,54.919998
11/21/18,0.056516974,-0.002628942,0.107727273,-0.06,0,-0.001084105,2.7945,1225.8,1149.8,848.1,35.189999,36.169998,57.026577,22.66,0.7,73.209999,42.759998,75.330002,18.73,144.710007,55.27
11/22/18,,,,,,,,,,,,,,,,,,,,,
11/23/18,0.143443152,0.117845479,0.088962813,0.213233017,0.012002924,0.143443152,2.7855,1223.2,1111.5,845,35.049999,35.959999,57.541527,22.51,0.69,73.5,42.77,76.25,19.379999,145,55.25
11/24/18,,,,,,,,,,,35.049999,35.959999,57.541527,22.51,0.69,73.5,42.77,76.25,19.379999,145,55.25
11/25/18,,,,,,,,,,,35.049999,35.959999,57.541527,22.51,0.69,73.5,42.77,76.25,19.379999,145,55.25
