Date,,Volume,Open,High,Low
12/15/14,,145843,1222,1225,1191.3
12/16/14,,221571,1195.4,1223.9,1187.8
12/17/14,,154962,1195.3,1203.1,1182
12/18/14,,129127,1189.4,1213.9,1188.5
12/19/14,,68747,1198,1201.5,1193.2
12/22/14,,122922,1196,1203.6,1170.7
12/23/14,,92893,1176.1,1184.9,1172.4
12/24/14,,40192,1176.8,1181.2,1172.7
12/26/14,,65571,1175.2,1199.1,1175.2
12/29/14,,78521,1194.9,1197.5,1178.6
12/30/14,,131961,1182.9,1210.9,1180.5
12/31/14,,67231,1199.8,1203.9,1179.5
1/2/15,,112280,1184,1194.9,1167.3
1/5/15,,142942,1187.8,1207.5,1177.8
1/6/15,,180653,1204,1223.3,1201.6
1/7/15,,111150,1219,1219.4,1209.1
1/8/15,,113091,1211,1216.8,1204.2
1/9/15,,148809,1208.9,1224,1207
1/12/15,,132313,1223,1236,1217.5
1/13/15,,168374,1233.1,1244.5,1227.4
1/14/15,,184208,1231.2,1244.6,1224.9
1/15/15,,272750,1229.7,1267.2,1226.1
1/16/15,,204198,1263.5,1282.4,1255.2
1/20/15,,231185,1276.3,1297.2,1272.1
1/21/15,,195098,1295.3,1307,1284.6
1/22/15,,198887,1293.7,1307.8,1279.1
1/23/15,,140604,1301.5,1302.9,1284.3
1/26/15,,157859,1292.8,1299.2,1275.6
1/27/15,,84273,1281.9,1298.6,1273
1/28/15,,140642,1293.5,1294.6,1280.2
1/29/15,,233577,1284,1286.6,1252.1
1/30/15,,156292,1259,1285.4,1257.5
2/2/15,,111408,1283,1283.9,1266.5
2/3/15,,166935,1275.6,1286.5,1255.8
2/4/15,,127140,1261.5,1273.3,1256.9
2/5/15,,105045,1270.4,1274.6,1256.1
2/6/15,,189154,1266.4,1269,1228.2
2/9/15,,86101,1235.9,1243.6,1234.4
2/10/15,,92110,1238.3,1245.9,1230.6
2/11/15,,109012,1234.1,1238.7,1216.5
2/12/15,,103350,1222.9,1232.8,1218
2/13/15,,90256,1223,1234.9,1222.5
2/17/15,,172721,1230.9,1236.7,1203.3
2/18/15,,114178,1209.3,1213.4,1197.2
2/19/15,,105113,1209,1222.9,1205.2
2/20/15,,103062,1208,1215.3,1197.7
2/23/15,,108517,1203.5,1210.3,1190.6
2/24/15,,109440,1201.9,1204.4,1190
2/25/15,,97588,1200.8,1211.7,1200.7
2/26/15,,122100,1203.9,1219.9,1203.4
2/27/15,,107382,1208.8,1219.2,1204.1
3/2/15,,128222,1213.8,1223,1204.2
3/3/15,,146874,1206.1,1214.4,1194.6
3/4/15,,99539,1203.8,1208.4,1197.7
3/5/15,,125564,1200.2,1208.9,1195.8
3/6/15,,204043,1197.5,1200,1162.9
3/9/15,,112018,1169.6,1174.4,1164.8
3/10/15,,170223,1165.6,1169.6,1153.8
3/11/15,,152874,1161.1,1164.3,1146.5
3/12/15,,151499,1153.7,1165.7,1147.5
3/13/15,,113141,1152.6,1160.9,1150.4
3/16/15,,114195,1157.9,1163.3,1149.3
3/17/15,,149286,1153.7,1159.3,1141.6
3/18/15,,180295,1148.1,1175.1,1144.9
3/19/15,,150727,1166.1,1177,1158.6
3/20/15,,155233,1170.4,1187.4,1167.9
3/23/15,,157085,1183.2,1191,1178.6
3/24/15,,153651,1188.5,1194.5,1184.7
3/25/15,,171373,1192.5,1199.3,1186.1
3/26/15,,112028,1196.1,1220.4,1194.8
3/27/15,,128583,1204.6,1206.6,1192.6
3/30/15,,122724,1198.6,1199.6,1182.2
3/31/15,,112462,1185.5,1190.6,1178.2
4/1/15,,141610,1183.2,1208.7,1180.5
4/2/15,,108884,1204.3,1207.4,1194.8
4/6/15,,101351,1212.6,1224.5,1212.6
4/7/15,,80561,1208.6,1215.9,1207.5
4/8/15,,112371,1208.7,1212.5,1197.4
4/9/15,,104647,1202.6,1203.3,1192.4
4/10/15,,116251,1193.8,1210.6,1192.9
4/13/15,,105226,1207.2,1209.3,1196.1
4/14/15,,153692,1198.8,1201.3,1183.5
4/15/15,,123923,1192.2,1204.4,1188.3
4/16/15,,151984,1201.8,1208.8,1194.3
4/17/15,,107912,1198.6,1207.8,1197
4/20/15,,126703,1204.4,1209,1190.8
4/21/15,,97120,1195.8,1203.7,1192.5
4/22/15,,146503,1202.2,1204.4,1185
4/23/15,,110608,1186.9,1197.4,1183.6
4/24/15,,149522,1193,1195.4,1174.1
4/27/15,,195125,1179.3,1206.7,1177.6
4/28/15,,145628,1201.6,1214.9,1198.6
4/29/15,,134603,1211.4,1213.5,1200.7
4/30/15,,196278,1204.5,1207.4,1176
5/1/15,,112452,1183.7,1184.4,1168.4
5/4/15,,104106,1176.6,1192.1,1176.6
5/5/15,,105898,1187.5,1199.3,1184.9
5/6/15,,103539,1192.5,1196.9,1187.4
5/7/15,,127213,1191.3,1192,1177.9
5/8/15,,134106,1183.7,1193,1180.5
5/11/15,,123351,1189,1190.9,1178
5/12/15,,133063,1182.5,1196.3,1179.7
5/13/15,,225506,1192.5,1218.5,1190.4
5/14/15,,162990,1215,1227.7,1211.9
5/15/15,,128557,1220.9,1225.8,1210.6
5/18/15,,112075,1225.4,1232,1221.2
5/19/15,,167820,1225.4,1225.5,1205.1
5/20/15,,119129,1207.7,1213.2,1202.7
5/21/15,,116552,1209.4,1212.4,1201
5/22/15,,138192,1206,1214.6,1201
5/26/15,,91910,1207.3,1208.9,1185.6
5/27/15,,139297,1187.5,1191.3,1183.9
5/28/15,,141607,1188,1192.8,1180.2
5/29/15,,97474,1188.1,1194.4,1186
6/1/15,,162133,1189.8,1204.7,1184
6/2/15,,106711,1189.5,1196.4,1185.8
6/3/15,,117094,1193.8,1195.6,1179.1
6/4/15,,144559,1185.8,1186.6,1172.4
6/5/15,,142628,1176.5,1178,1162.1
6/8/15,,100756,1170.8,1177.1,1168.5
6/9/15,,87429,1173.2,1182.3,1171.8
6/10/15,,116677,1175.8,1191.8,1174.3
6/11/15,,101075,1185.7,1187.4,1174.8
6/12/15,,80500,1180.8,1183.7,1175.6
6/15/15,,124584,1180,1190.2,1171.9
6/16/15,,93967,1185.3,1187.4,1175.4
6/17/15,,96054,1181.1,1188.8,1173.9
6/18/15,,174738,1184.2,1205.7,1183.1
6/19/15,,79570,1201.8,1204,1198
6/22/15,,116780,1199.7,1200.8,1181.6
6/23/15,,106625,1185.3,1187.7,1175.6
6/24/15,,110046,1177.6,1179.7,1168.1
6/25/15,,80598,1174.1,1177.3,1170.5
6/26/15,,99904,1172.5,1178,1167.1
6/29/15,,136394,1182.5,1187.6,1173.2
6/30/15,,139830,1179.8,1180,1165.4
7/1/15,,90598,1172.4,1174.4,1166.7
7/2/15,,480,1165.2,1165.6,1163.7
7/6/15,,100581,1173.2,1174.4,1161.9
7/7/15,,190168,1168.8,1170,1146.8
7/8/15,,159002,1154,1163.8,1145.9
7/9/15,,122563,1157.5,1166.9,1155.1
7/10/15,,106510,1158.7,1164.5,1156.4
7/13/15,,118607,1162.3,1163.9,1149.8
7/14/15,,103814,1157,1159.1,1151.8
7/15/15,,141077,1153.9,1155.8,1141.9
7/16/15,,118613,1146.2,1148.2,1140.6
7/17/15,,149622,1144.3,1144.5,1129.6
7/20/15,,250336,1095,1132.5,1080
7/21/15,,163597,1098,1108.8,1095.9
7/22/15,,170919,1100.1,1102.3,1085.6
7/23/15,,194839,1093.4,1104.9,1086.1
7/24/15,,237901,1089.5,1100.9,1072.3
7/27/15,,53257,1098.2,1104.9,1088
7/28/15,,75543,1094.2,1098.7,1091.1
7/29/15,,107835,1094.8,1101.5,1089.8
7/30/15,,155535,1096.6,1098.2,1081.5
7/31/15,,166766,1087.7,1103,1079.2
8/3/15,,102779,1095.1,1098,1085.1
8/4/15,,108848,1087.5,1094.4,1080.2
8/5/15,,110005,1087.3,1091.7,1082
8/6/15,,90012,1084.1,1093.3,1082.7
8/7/15,,165051,1088.8,1098.9,1081.4
8/10/15,,142965,1094,1108.5,1089
8/11/15,,186562,1103.8,1119.1,1093.3
8/12/15,,184025,1108.2,1125.5,1101.1
8/13/15,,125318,1125.2,1126.3,1112.8
8/14/15,,100681,1114.6,1120.4,1111.1
8/17/15,,88129,1113.5,1122.2,1112.9
8/18/15,,116442,1117.2,1120.4,1108.5
8/19/15,,146994,1117.2,1134.3,1115.5
8/20/15,,174797,1133.3,1153.7,1132.1
8/21/15,,189582,1153.3,1167.9,1148.5
8/24/15,,255624,1160.2,1169.8,1145.1
8/25/15,,188989,1155.7,1156.3,1134
