Date,Close,Volume,Open,High,Low
12/16/2014,35.56,30978640.00,35.86,36.50,35.56
12/17/2014,36.24,31596790.00,35.62,36.33,35.33
12/18/2014,37.02,32069660.00,36.75,37.02,36.43
12/19/2014,36.37,76721940.00,37.02,37.16,36.23
12/22/2014,37.21,29193180.00,36.39,37.26,36.39
12/23/2014,37.43,22169110.00,37.40,37.70,37.30
12/24/2014,37.44,12109120.00,37.47,37.60,37.18
12/26/2014,37.55,14031880.00,37.52,37.74,37.52
12/29/2014,37.18,12182100.00,37.45,37.52,37.17
12/30/2014,36.76,15200480.00,37.08,37.19,36.76
12/31/2014,36.29,20372670.00,36.63,37.04,36.29
1/2/2015,36.36,23600790.00,36.67,37.16,36.11
1/5/2015,35.95,32624380.00,36.20,36.45,35.94
1/6/2015,35.28,30783840.00,36.08,36.23,35.26
1/7/2015,36.02,27680270.00,35.64,36.07,35.27
1/8/2015,36.69,31743470.00,36.37,37.00,36.26
1/9/2015,36.76,22846060.00,36.77,37.11,36.40
1/12/2015,36.60,29391740.00,36.90,37.00,36.23
1/13/2015,36.50,31404100.00,36.87,37.49,36.29
1/14/2015,36.35,34243300.00,36.33,36.91,35.91
1/15/2015,36.19,46721140.00,36.53,36.88,36.03
1/16/2015,36.45,62794320.00,36.12,36.66,35.51
1/20/2015,36.09,35895910.00,36.10,36.46,35.57
1/21/2015,36.48,27428740.00,35.85,36.68,35.77
1/22/2015,36.91,31794170.00,36.56,37.00,36.14
1/23/2015,36.45,27425680.00,36.96,37.03,36.38
1/26/2015,35.81,30844460.00,36.19,36.30,35.57
1/27/2015,34.19,58445100.00,34.40,34.72,33.55
1/28/2015,33.78,34876320.00,34.47,34.70,33.72
1/29/2015,34.21,29539210.00,33.84,34.28,33.46
1/30/2015,33.04,38653900.00,33.70,33.99,33.00
2/2/2015,33.65,38702580.00,33.06,33.75,32.65
2/3/2015,33.70,36032220.00,33.78,34.05,32.61
2/4/2015,33.60,25051020.00,33.67,33.84,33.30
2/5/2015,33.94,20478440.00,33.68,33.99,33.45
2/6/2015,33.30,29310840.00,33.92,34.00,33.14
2/9/2015,32.93,28704480.00,33.00,33.24,32.67
2/10/2015,33.70,20196360.00,33.20,33.73,33.05
2/11/2015,33.55,18358140.00,33.67,33.76,33.32
2/12/2015,34.13,20042550.00,33.98,34.13,33.76
2/13/2015,34.36,18035930.00,34.25,34.37,33.95
2/17/2015,34.74,19357940.00,34.40,34.75,34.26
2/18/2015,34.27,19991660.00,34.65,34.71,34.19
2/19/2015,34.21,11017540.00,34.25,34.42,34.05
2/20/2015,34.41,20953600.00,34.15,34.57,33.91
2/23/2015,33.76,25411150.00,34.40,34.50,33.58
2/24/2015,34.41,29568720.00,33.61,34.49,33.51
2/25/2015,33.95,24685930.00,34.03,34.15,33.73
2/26/2015,33.65,25926600.00,33.62,33.88,33.43
2/27/2015,33.25,24412370.00,33.63,33.64,33.21
3/2/2015,34.06,25295340.00,33.29,34.13,33.12
3/3/2015,34.10,27280800.00,33.95,34.38,33.91
3/4/2015,34.12,22968350.00,33.86,34.41,33.72
3/5/2015,33.73,21197550.00,34.26,34.50,33.59
3/6/2015,33.19,32371060.00,33.54,33.68,33.08
3/9/2015,32.72,33055880.00,33.20,33.27,32.48
3/10/2015,31.70,50258030.00,32.24,32.41,31.50
3/11/2015,32.33,49643550.00,31.97,32.96,31.95
3/12/2015,30.80,107365900.00,31.01,31.60,30.58
3/13/2015,30.93,47951390.00,30.63,30.98,30.36
3/16/2015,30.83,33057530.00,30.93,31.11,30.65
3/17/2015,30.59,29223770.00,30.58,30.73,30.41
3/18/2015,30.89,39832510.00,30.41,31.20,30.30
3/19/2015,30.74,27385670.00,30.78,31.10,30.69
3/20/2015,31.31,64275480.00,30.99,31.62,30.93
3/23/2015,31.20,29560050.00,31.29,31.79,31.20
3/24/2015,30.79,28280650.00,31.16,31.32,30.74
3/25/2015,29.89,37673750.00,30.81,30.89,29.86
3/26/2015,30.08,45436010.00,29.50,30.40,29.31
3/27/2015,32.00,73569920.00,30.01,33.00,29.85
3/30/2015,31.46,51359390.00,31.66,32.10,31.30
3/31/2015,31.27,32095410.00,31.43,31.93,31.20
4/1/2015,30.81,31467380.00,31.13,31.32,30.65
4/2/2015,30.81,20908280.00,30.80,31.23,30.67
4/6/2015,31.04,21490510.00,30.81,31.25,30.45
4/7/2015,31.26,23256910.00,31.07,31.59,31.00
4/8/2015,31.31,18233040.00,31.23,31.56,31.06
4/9/2015,31.24,34126220.00,30.68,31.62,30.57
