Date,Close,Volume,Open,High,Low
12/17/2014,25.82,126300.00,25.52,26.05,25.42
12/18/2014,25.56,76500.00,25.65,25.67,25.50
12/19/2014,26.38,36200.00,26.18,26.40,26.00
12/22/2014,26.16,36200.00,26.28,26.30,26.05
12/23/2014,25.95,47800.00,25.92,26.07,25.91
12/24/2014,26.04,10000.00,25.95,26.26,25.95
12/26/2014,26.64,19000.00,26.07,26.76,26.07
12/29/2014,26.30,64300.00,26.15,26.40,26.15
12/30/2014,26.17,37800.00,26.21,26.21,26.12
12/31/2014,26.22,31600.00,26.10,26.35,26.10
1/2/2015,26.10,37200.00,26.20,26.20,26.06
1/5/2015,25.53,30600.00,25.91,25.97,25.51
1/6/2015,25.69,35000.00,25.83,25.83,25.54
1/7/2015,26.95,81547.00,26.70,27.00,26.70
1/8/2015,28.08,61323.00,27.86,28.08,27.86
1/9/2015,27.51,29721.00,27.90,27.90,27.45
1/12/2015,27.57,25979.00,27.82,27.99,27.57
1/13/2015,27.33,83421.00,27.62,27.71,27.32
1/14/2015,27.64,41092.00,27.42,27.73,27.33
1/15/2015,27.07,33182.00,27.30,27.41,27.06
1/16/2015,26.67,146399.00,26.86,26.86,26.51
1/20/2015,26.61,30985.00,26.74,26.85,26.56
1/21/2015,26.79,35130.00,26.72,26.84,26.58
1/22/2015,26.61,27073.00,26.48,26.80,26.48
1/23/2015,26.93,51149.00,27.04,27.20,26.93
1/26/2015,27.33,31689.00,27.20,27.42,27.18
1/27/2015,27.03,72753.00,26.90,27.07,26.77
1/28/2015,26.39,41021.00,26.70,26.80,26.39
1/29/2015,25.86,79562.00,25.84,26.08,25.65
1/30/2015,25.64,140869.00,25.85,26.19,25.64
2/2/2015,26.06,71451.00,26.13,26.13,25.90
2/3/2015,28.45,124971.00,27.91,28.49,27.91
2/4/2015,29.50,185730.00,29.16,29.75,29.16
2/5/2015,29.94,48589.00,29.78,29.94,29.77
2/6/2015,29.40,57302.00,29.35,29.63,29.35
2/9/2015,30.35,101319.00,30.35,30.48,30.24
2/10/2015,30.57,29961.00,30.60,30.60,30.40
2/11/2015,30.86,65397.00,30.80,31.00,30.80
2/12/2015,31.75,41442.00,31.63,31.81,31.61
2/13/2015,31.25,49202.00,31.47,31.47,31.21
2/17/2015,30.52,39827.00,30.78,30.78,30.52
2/18/2015,30.43,36641.00,30.76,30.76,30.36
2/19/2015,30.38,27028.00,30.40,30.50,30.35
2/20/2015,29.62,99619.00,30.21,30.25,29.60
2/23/2015,30.73,153314.00,30.79,30.89,30.72
2/24/2015,30.65,57808.00,30.75,30.75,30.63
2/25/2015,30.45,48818.00,30.63,30.64,30.43
2/26/2015,30.49,39156.00,30.53,30.64,30.46
2/27/2015,30.58,45870.00,30.72,30.92,30.57
3/2/2015,31.08,75079.00,31.06,31.23,31.05
3/3/2015,30.80,46870.00,30.72,30.80,30.56
3/4/2015,30.69,56430.00,30.87,30.87,30.50
3/5/2015,31.01,62187.00,31.02,31.02,30.90
3/6/2015,31.34,42518.00,31.26,31.47,31.26
3/9/2015,31.14,39012.00,30.95,31.18,30.95
3/10/2015,29.95,59550.00,29.96,30.16,29.91
3/11/2015,29.06,47787.00,29.21,29.37,29.03
3/12/2015,29.73,28461.00,29.20,29.73,29.20
3/13/2015,27.93,88248.00,28.35,28.35,27.75
