Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,58200.000000,60500.000000,58200.000000,60000.000000,58502.496094,3946994
2018-12-24,59600.000000,60700.000000,59200.000000,60400.000000,58892.515625,2101703
2018-12-26,59400.000000,60800.000000,59300.000000,60100.000000,58600.000000,2455060
2018-12-27,61600.000000,61900.000000,60600.000000,61600.000000,61600.000000,3047798
2018-12-28,61700.000000,62300.000000,60500.000000,60500.000000,60500.000000,1647462
2019-01-02,61300.000000,61400.000000,60000.000000,60600.000000,60600.000000,1934295
2019-01-03,60200.000000,60300.000000,57500.000000,57700.000000,57700.000000,3337621
2019-01-04,57500.000000,58500.000000,56700.000000,58300.000000,58300.000000,3388087
2019-01-07,59000.000000,59700.000000,58400.000000,58700.000000,58700.000000,2273750
2019-01-08,57900.000000,60500.000000,57600.000000,59200.000000,59200.000000,3062192
2019-01-09,59600.000000,63800.000000,59400.000000,63600.000000,63600.000000,4928656
2019-01-10,64100.000000,65600.000000,64000.000000,65300.000000,65300.000000,6034432
2019-01-11,65400.000000,65900.000000,64200.000000,65100.000000,65100.000000,2890639
2019-01-14,64300.000000,65100.000000,62000.000000,62100.000000,62100.000000,3282892
2019-01-15,62200.000000,64000.000000,62200.000000,64000.000000,64000.000000,2413868
2019-01-16,63800.000000,64900.000000,62700.000000,64800.000000,64800.000000,2478497
2019-01-17,65500.000000,66200.000000,64600.000000,64900.000000,64900.000000,2830122
2019-01-18,65000.000000,65700.000000,63900.000000,64600.000000,64600.000000,2263599
2019-01-21,65900.000000,67400.000000,65000.000000,67000.000000,67000.000000,3977425
2019-01-22,67900.000000,68000.000000,65700.000000,66600.000000,66600.000000,4047917
2019-01-23,65500.000000,67200.000000,64800.000000,66800.000000,66800.000000,2825017
2019-01-24,66900.000000,70500.000000,66900.000000,70500.000000,70500.000000,6914092
2019-01-25,71600.000000,74800.000000,71100.000000,74600.000000,74600.000000,7163871
2019-01-28,74700.000000,74900.000000,71200.000000,71800.000000,71800.000000,4972189
2019-01-29,71400.000000,73800.000000,71000.000000,73400.000000,73400.000000,3368642
2019-01-30,73500.000000,76300.000000,73000.000000,75900.000000,75900.000000,5304841
2019-01-31,76900.000000,77100.000000,73700.000000,73900.000000,73900.000000,4447535
2019-02-01,75400.000000,76400.000000,74700.000000,75900.000000,75900.000000,3349965
2019-02-07,null,null,null,null,null,null
2019-02-08,null,null,null,null,null,null
2019-02-11,null,null,null,null,null,null
2019-02-12,null,null,null,null,null,null
2019-02-13,null,null,null,null,null,null
2019-02-14,null,null,null,null,null,null
2019-02-15,null,null,null,null,null,null
2019-02-18,null,null,null,null,null,null
2019-02-19,null,null,null,null,null,null
2019-02-20,null,null,null,null,null,null
2019-02-21,null,null,null,null,null,null
2019-02-22,null,null,null,null,null,null
2019-02-25,null,null,null,null,null,null
2019-02-26,null,null,null,null,null,null
2019-02-27,null,null,null,null,null,null
2019-02-28,null,null,null,null,null,null
2019-03-04,null,null,null,null,null,null
2019-03-05,null,null,null,null,null,null
2019-03-06,null,null,null,null,null,null
2019-03-07,null,null,null,null,null,null
2019-03-08,null,null,null,null,null,null
2019-03-11,null,null,null,null,null,null
2019-03-12,null,null,null,null,null,null
2019-03-13,null,null,null,null,null,null
2019-03-14,null,null,null,null,null,null
2019-03-15,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-19,null,null,null,null,null,null
2019-03-20,null,null,null,null,null,null
2019-03-21,null,null,null,null,null,null
2019-03-22,null,null,null,null,null,null
2019-03-25,null,null,null,null,null,null
2019-03-26,null,null,null,null,null,null
2019-03-27,null,null,null,null,null,null
2019-03-28,null,null,null,null,null,null
2019-03-29,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-02,null,null,null,null,null,null
2019-04-03,null,null,null,null,null,null
2019-04-04,null,null,null,null,null,null
2019-04-05,null,null,null,null,null,null
