Date,Close,Volume,Open,High,Low
12/15/2014,802.55,232,797.15,801.1,796.6
12/16/2014,802.55,18,797.15,801.1,797.15
12/17/2014,779.25,4284,787,792.95,775
12/18/2014,792.15,3536,778.3,795.3,778.3
12/19/2014,805.1,2746,794.2,807.6,788.3
12/22/2014,815.25, N/A,815.25,815.25,815.25
12/23/2014,814.05,2021,812.4,816,807.05
12/24/2014,807.8,970,811.1,815.2,804.7
12/26/2014,818.6,1103,805.75,819.2,805.75
12/29/2014,812, N/A,812,812,812
12/30/2014,804.2,2232,799.25,814.45,799.25
12/31/2014,798.4,1871,805.75,807.5,795
1/2/2015,794.85,2268,797.25,802.9,791.3
1/5/2015,793.2, N/A,793.2,793.2,793.2
1/6/2015,800.4, N/A,800.4,800.4,800.4
1/7/2015,792.45, N/A,792.45,792.45,792.45
1/8/2015,793.1,2978,791.85,797,786.2
1/9/2015,800.15,2685,792.1,803.5,791.05
1/12/2015,814.1, N/A,814.1,814.1,814.1
1/13/2015,815.7, N/A,815.7,815.7,815.7
1/14/2015,780.65, N/A,780.65,780.65,780.65
1/15/2015,766.35, N/A,766.35,766.35,766.35
1/16/2015,754.3,7930,768.8,775,746
1/20/2015,778.75, N/A,778.75,778.75,778.75
1/21/2015,768.25, N/A,768.25,768.25,768.25
1/22/2015,772.3, N/A,772.3,772.3,772.3
1/23/2015,774.1,3044,777.1,777.3,762.05
1/26/2015,781.85, N/A,781.85,781.85,781.85
1/27/2015,780.75, N/A,780.75,780.75,780.75
1/28/2015,796.3, N/A,796.3,796.3,796.3
1/29/2015,771.6,4639,795.85,796.4,767.45
1/30/2015,772.4,3429,778.75,784,770.25
2/2/2015,788,3429,771.1,788.6,767.25
2/3/2015,786,3825,787.1,797,783.75
2/4/2015,790.2,3255,785.5,799,784.25
2/5/2015,795.7,3288,792.35,797.1,784.9
2/6/2015,781.3,3678,797,797.5,781
2/9/2015,779.65,3982,783,787.5,776
2/10/2015,765.7,4814,779.5,784,763.6
2/11/2015,766.55,5348,770.5,780.55,764.85
2/12/2015,773.65,3755,770,779.25,768.45
2/13/2015,794.45,4701,775.15,795,772.5
2/17/2015,783.25,5192,790,794.4,776.25
2/18/2015,776.6,4909,782.15,785,775.4
2/19/2015,786.8,7551,776.4,790.05,775.2
2/20/2015,779.2,5993,786.8,787.75,776.05
2/23/2015,787.6,5153,782.5,788.75,775.8
2/24/2015,791.5,5165,785.85,799.6,784.15
2/25/2015,809.3,9537,792.9,810,792.2
2/26/2015,811.05,6776,809.1,816.6,806.9
2/27/2015,819.5,4044,810.55,820,804.35
3/2/2015,831.1,6324,818.8,833.6,814.1
3/3/2015,831.65,4247,829.45,832.9,821.5
3/4/2015,830.65,3939,828.8,832.6,821.1
3/5/2015,825.05,2745,828.55,831.5,822
3/6/2015,818.15,4617,826.6,830,812.4
3/9/2015,822.95,2457,825,829.05,819.6
3/10/2015,804.1,5314,822.25,824.75,801
3/11/2015,789.4,4594,803.5,808.3,787.25
3/12/2015,786.95,3061,790,799.5,785.55
3/13/2015,788.7,2957,791.3,798.1,787.4
3/16/2015,780.1,3451,790.4,794.35,778.95
3/17/2015,762.15,6350,784.95,782.8,755.1
3/18/2015,764.65,4978,763,788.9,757.1
3/19/2015,765.8,3840,780.2,787.7,765.05
3/20/2015,779.1,3224,770.25,780.5,765.05
3/23/2015,770.7,2674,773.8,782,770.2
3/24/2015,763.7,2787,776.9,777,762.35
