Date,Close,Volume,Open,High,Low
12/15/2014,16.563, N/A,16.563,16.563,16.563
12/16/2014,15.752,70815,16.205,16.665,15.54
12/17/2014,15.928,45134,15.755,16.06,15.615
12/18/2014,15.934,32694,15.755,16.23,15.74
12/19/2014,16.03,20764,15.875,16.11,15.83
12/22/2014,15.688, N/A,15.688,15.688,15.688
12/23/2014,15.767,22179,15.675,15.895,15.56
12/24/2014,15.71,10231,15.775,15.865,15.68
12/26/2014,16.147,16027,15.78,16.305,15.765
12/29/2014,15.779, N/A,15.779,15.779,15.779
12/30/2014,16.276,33809,15.81,16.48,15.75
12/31/2014,15.599,24267,16.25,16.31,15.545
1/2/2015,15.768,29514,15.73,16.06,15.51
1/5/2015,16.213, N/A,16.213,16.213,16.213
1/6/2015,16.637, N/A,16.62,16.637,16.637
1/7/2015,16.544, N/A,16.544,16.544,16.544
1/8/2015,16.385, N/A,16.385,16.385,16.385
1/9/2015,16.419,32312,16.375,16.625,16.21
1/12/2015,16.564,24088,16.65,16.69,16.43
1/13/2015,17.156,57775,16.59,17.215,16.57
1/14/2015,16.988, N/A,16.988,16.988,16.988
1/15/2015,17.102, N/A,17.102,17.102,17.102
1/16/2015,17.75,61985,16.965,17.865,16.89
1/20/2015,17.956, N/A,18.075,17.956,17.956
1/21/2015,18.193, N/A,18.193,18.193,18.193
1/22/2015,18.36, N/A,18.36,18.36,18.36
1/23/2015,18.3,30665,18.335,18.415,18.12
1/26/2015,17.983, N/A,17.9,17.983,17.983
1/27/2015,18.084, N/A,18.08,18.084,18.084
1/28/2015,18.088, N/A,18.02,18.088,18.088
1/29/2015,16.773,72817,18,18.05,16.74
1/30/2015,17.208,43267,16.94,17.32,16.815
2/2/2015,17.251,30450,17.155,17.34,16.995
2/3/2015,17.321,48990,17.24,17.75,17.07
2/4/2015,17.395, N/A,17.395,17.395,17.395
2/5/2015,17.196,39138,17.335,17.5,16.92
2/6/2015,16.694,58424,17.28,17.37,16.545
2/9/2015,17.07,38369,16.785,17.145,16.685
2/10/2015,16.873,38057,16.91,17.095,16.715
2/11/2015,16.761,39653,16.93,17.075,16.71
2/12/2015,16.794,39069,16.795,17.04,16.605
2/13/2015,17.294,48520,16.84,17.43,16.835
2/17/2015,16.378,78581,17.27,17.4,16.26
2/18/2015,16.265,48903,16.48,16.575,16.23
2/19/2015,16.381,38470,16.445,16.77,16.32
2/20/2015,16.273,44160,16.345,16.555,16.16
2/23/2015,16.299,18201,16.33,16.635,16.115
2/24/2015,16.233,21641,16.34,16.505,16.085
2/25/2015,16.474,39629,16.295,16.75,16.295
2/26/2015,16.624,40071,16.535,16.905,16.52
2/27/2015,16.558,27257,16.565,16.7,16.425
3/2/2015,16.451,26128,16.575,16.79,16.35
3/3/2015,16.296,39605,16.405,16.58,16.07
3/4/2015,16.158, N/A,16.158,16.158,16.158
3/5/2015,16.158,21783,16.22,16.355,16.14
3/6/2015,15.807,41153,16.185,16.235,15.745
3/9/2015,15.776,23779,15.93,15.96,15.705
3/10/2015,15.633,32569,15.72,15.825,15.58
3/11/2015,15.365,39242,15.625,15.73,15.26
3/12/2015,15.516,28398,15.485,15.685,15.385
3/13/2015,15.494,22232,15.565,15.66,15.455
3/16/2015,15.617,25648,15.63,15.755,15.49
3/17/2015,15.578,33602,15.625,15.72,15.36
3/18/2015,15.541,37265,15.53,16.095,15.43
3/19/2015,16.114,38709,15.93,16.205,15.795
3/20/2015,16.883,57332,16.125,16.89,16.08
3/23/2015,16.891,41730,16.755,17.09,16.61
3/24/2015,16.983,33609,16.995,17.04,16.805
3/25/2015,17,28645,16.935,17.14,16.84
3/26/2015,17.14,43164,16.97,17.405,16.91
3/27/2015,17.069,38372,17.085,17.195,16.855
3/30/2015,16.674,30764,16.735,16.99,16.625
3/31/2015,16.598,34612,16.705,16.82,16.435
4/1/2015,17.059,41610,16.62,17.075,16.5
4/2/2015,16.701,37297,16.935,17,16.57
4/6/2015,17.11,33115,16.995,17.31,16.935
4/7/2015,16.84,29012,16.96,16.975,16.73
4/8/2015,16.454,47267,16.845,16.905,16.37
4/9/2015,16.176,43462,16.5,16.51,16.105
4/10/2015,16.382,47952,16.14,16.65,16.14
4/13/2015,16.291,34341,16.275,16.51,16.225
4/14/2015,16.161,44012,16.28,16.34,15.955
4/15/2015,16.279,40021,16.145,16.37,16.045
4/16/2015,16.284,41823,16.25,16.475,16.1
4/17/2015,16.229,39170,16.26,16.49,16.185
4/20/2015,15.889,51963,16.275,16.34,15.82
4/21/2015,16.008,51601,15.92,16.165,15.86
4/22/2015,15.796,50789,15.965,16.075,15.655
4/23/2015,15.829,43528,15.76,15.92,15.705
4/24/2015,15.68,32768,15.91,15.925,15.595
4/27/2015,16.439,39851,15.74,16.49,15.72
4/28/2015,16.63,48232,16.41,16.7,16.325
4/29/2015,16.702,54186,16.62,16.725,16.415
4/30/2015,16.153,60368,16.575,16.73,15.8
5/1/2015,16.135,31596,16.145,16.26,15.895
5/4/2015,16.441,43204,16.13,16.765,16.125
5/5/2015,16.579,31392,16.4,16.705,16.345
5/6/2015,16.506,29972,16.54,16.65,16.385
5/7/2015,16.297,35468,16.33,16.555,16.16
5/8/2015,16.465,32703,16.305,16.555,16.26
5/11/2015,16.314,33214,16.275,16.55,16.2
5/12/2015,16.526,37568,16.285,16.595,16.12
5/13/2015,17.221,70598,16.52,17.235,16.48
5/14/2015,17.465,60078,17.16,17.585,17.07
5/15/2015,17.563,45108,17.46,17.585,17.205
5/18/2015,17.732,38468,17.535,17.775,17.475
5/19/2015,17.071,57554,17.705,17.735,16.87
5/20/2015,17.113,33615,17.095,17.28,16.935
5/21/2015,17.132,20212,17.1,17.25,17
5/22/2015,17.051,30191,17.14,17.335,16.94
5/26/2015,16.746,47251,17.13,17.18,16.645
5/27/2015,16.647,29582,16.735,16.81,16.58
5/28/2015,16.669,34408,16.675,16.775,16.54
5/29/2015,16.701,28815,16.67,16.85,16.64
6/1/2015,16.68,54857,16.695,17.17,16.59
6/2/2015,16.799,41053,16.725,16.84,16.61
6/3/2015,16.48,52698,16.775,16.795,16.375
6/4/2015,16.103,52050,16.48,16.5,16.065
6/5/2015,15.984,56918,16.065,16.16,15.925
6/8/2015,15.959,44224,16.04,16.11,15.88
6/9/2015,15.957,41991,15.92,16.135,15.905
6/10/2015,15.959,43443,15.91,16.19,15.895
6/11/2015,15.96,48594,15.96,16.04,15.77
6/12/2015,15.825,37044,15.98,16.005,15.785
6/15/2015,16.083,49088,16.045,16.235,15.81
6/16/2015,15.965,33029,15.975,16.105,15.85
6/17/2015,15.947,38139,15.965,16.25,15.885
6/18/2015,16.153,56698,16.075,16.43,16.02
6/19/2015,16.109,35550,16.11,16.19,15.87
6/22/2015,16.142,49447,16.17,16.23,15.985
6/23/2015,15.737,67034,16.135,16.175,15.67
6/24/2015,15.89,23581,15.825,15.92,15.76
6/25/2015,15.841,31767,15.88,15.94,15.765
6/26/2015,15.768,46565,15.84,15.905,15.48
6/29/2015,15.695,48676,15.865,16.04,15.66
6/30/2015,15.581,55189,15.77,15.84,15.435
7/1/2015,15.577,29779,15.615,15.685,15.5
7/2/2015,15.562,156,15.63,15.655,15.63
7/6/2015,15.753,30524,15.7,15.82,15.495
7/7/2015,14.969,86856,15.67,15.71,14.62
7/8/2015,15.163,63767,15.075,15.22,14.705
7/9/2015,15.361,44751,15.11,15.525,14.975
7/10/2015,15.481,28841,15.375,15.635,15.34
7/13/2015,15.457,36339,15.555,15.9,15.27
7/14/2015,15.315,26505,15.48,15.48,15.235
7/15/2015,15.048,34057,15.325,15.36,14.96
7/16/2015,14.984,29358,15.06,15.145,14.845
7/17/2015,14.834,26307,14.955,15.005,14.795
7/20/2015,14.758,58261,14.83,14.98,14.49
7/21/2015,14.785,29820,14.8,14.93,14.615
7/22/2015,14.73,33829,14.81,14.865,14.585
7/23/2015,14.701,27544,14.74,14.96,14.545
7/24/2015,14.488,52295,14.615,14.71,14.33
7/27/2015,14.605,30574,14.69,14.74,14.495
7/28/2015,14.642,25765,14.515,14.675,14.51
7/29/2015,14.743,35542,14.64,14.9,14.57
7/30/2015,14.696,31781,14.775,14.815,14.58
7/31/2015,14.745,45356,14.695,14.97,14.51
8/3/2015,14.515,37306,14.45,14.765,14.39
8/4/2015,14.557,34284,14.45,14.625,14.345
8/5/2015,14.553,34030,14.545,14.675,14.465
8/6/2015,14.677,32174,14.63,14.735,14.49
8/7/2015,14.821,60346,14.63,14.99,14.565
8/10/2015,15.292,55792,14.75,15.375,14.705
8/11/2015,15.284,61470,15.23,15.38,15.065
8/12/2015,15.476,65114,15.29,15.57,15.125
8/13/2015,15.399,45745,15.515,15.555,15.265
8/14/2015,15.213,45533,15.4,15.585,15.14
8/17/2015,15.298,29737,15.225,15.375,15.18
8/18/2015,14.79,61939,15.3,15.325,14.68
8/19/2015,15.222,13459,14.9,15.355,14.84
8/20/2015,15.562,12717,15.31,15.605,15.31
8/21/2015,15.348,17639,15.59,15.77,15.155
8/24/2015,14.798,38165,15.37,15.44,14.595
8/25/2015,14.651,36267,14.835,14.96,14.56
8/26/2015,14.078,34627,14.72,14.745,13.95
8/27/2015,14.437,51802,14.14,14.585,14.075
8/28/2015,14.549,45284,14.505,14.67,14.35
8/31/2015,14.586,29289,14.58,14.67,14.39
9/1/2015,14.62,35961,14.595,14.755,14.495
9/2/2015,14.667,36535,14.585,14.815,14.425
9/3/2015,14.707,31493,14.66,14.95,14.55
9/4/2015,14.549,1776,14.55,14.67,14.55
9/8/2015,14.755,40908,14.49,14.88,14.44
9/9/2015,14.576,33908,14.6,14.93,14.56
9/10/2015,14.645,32515,14.59,14.845,14.535
9/11/2015,14.505,39150,14.685,14.745,14.25
9/14/2015,14.363,24163,14.555,14.59,14.31
9/15/2015,14.326,20467,14.365,14.41,14.24
9/16/2015,14.885,49373,14.905,14.965,14.31
9/17/2015,14.984,41177,14.925,15.275,14.77
9/18/2015,15.163,45221,15.12,15.435,15.015
9/21/2015,15.221,21582,15.165,15.245,15.08
9/22/2015,14.756,44587,15.18,15.22,14.695
9/23/2015,14.789,25265,14.765,14.91,14.685
9/24/2015,15.13,44699,14.765,15.18,14.745
9/25/2015,15.111,28655,15.07,15.185,14.945
9/28/2015,14.538,54715,15.07,15.11,14.47
9/29/2015,14.573,32011,14.585,14.7,14.455
9/30/2015,14.518,36029,14.605,14.725,14.435
10/1/2015,14.511,27320,14.5,14.67,14.43
10/2/2015,15.263,67092,14.49,15.3,14.36
10/5/2015,15.708,57868,15.25,15.73,15.1
10/6/2015,15.984,56311,15.62,16.09,15.57
10/7/2015,16.094,41392,16.04,16.115,15.82
10/8/2015,15.766,56910,16.055,16.08,15.375
10/9/2015,15.818,40156,15.68,16.01,15.585
10/12/2015,15.864,35623,15.83,16.075,15.765
10/13/2015,15.907,38237,15.815,15.985,15.615
10/14/2015,16.117,55252,16.14,16.195,15.79
10/15/2015,16.164, N/A,16.164,16.164,16.164
10/16/2015,16.114,31670,16.12,16.165,15.935
10/19/2015,15.841,34847,15.835,16.04,15.735
10/20/2015,15.917,36338,15.83,15.965,15.74
10/21/2015,15.71,38543,15.9,15.94,15.61
10/22/2015,15.837,32731,15.68,15.91,15.64
10/23/2015,15.827,46786,15.815,16.1,15.705
10/26/2015,15.905,24404,15.845,15.98,15.77
10/27/2015,15.863,26860,15.84,15.95,15.78
10/28/2015,16.293,68814,15.905,16.37,15.72
10/29/2015,15.55,60549,15.935,16.01,15.535
10/30/2015,15.567,38106,15.6,15.655,15.475
11/2/2015,15.408,39586,15.535,15.55,15.25
11/3/2015,15.239,34123,15.4,15.45,15.2
11/4/2015,15.058,38268,15.075,15.325,15.025
11/5/2015,14.983,40185,15.065,15.09,14.91
11/6/2015,14.691,53181,14.96,15.045,14.685
11/9/2015,14.413,48624,14.73,14.76,14.395
11/10/2015,14.356,54931,14.515,14.555,14.265
11/11/2015,14.263, N/A,14.29,14.263,14.263
11/12/2015,14.225,65687,14.275,14.465,14.155
11/13/2015,14.204,38717,14.25,14.35,14.14
11/16/2015,14.222,41898,14.265,14.42,14.17
11/17/2015,14.171,45781,14.22,14.25,14.08
11/18/2015,14.081,46404,14.16,14.21,13.99
11/19/2015,14.253,11177,14.155,14.4,14.125
11/20/2015,14.126,15849,14.265,14.395,14.07
11/23/2015,14.061,26125,14.115,14.185,13.89
11/24/2015,14.188,26707,14.11,14.3,14.05
11/25/2015,14.175,3133,14.17,14.25,14.115
11/27/2015,14.048,51271,14.275,14.375,13.93
11/30/2015,14.086,27095,14.045,14.18,13.975
12/1/2015,14.083, N/A,14.083,14.083,14.083
