Date,Close,Volume,Open,High,Low
12/13/2019,2.7805,476,2.815,2.82,2.762
12/12/2019,2.7965,99303,2.8045,2.8145,2.803
12/11/2019,2.7895,76152,2.7935,2.794,2.7905
12/10/2019,2.7555,395,2.75,2.757,2.746
12/9/2019,2.7585,93331,2.7455,2.762,2.72
12/6/2019,2.711,495,2.6665,2.7365,2.653
12/5/2019,2.663,44576,2.662,2.6765,2.6535
12/4/2019,2.659,70718,2.6265,2.6665,2.6205
12/3/2019,2.608,1486,2.6325,2.636,2.605
12/2/2019,2.6505,62553,2.662,2.679,2.647
11/29/2019,2.6615,70606,2.6715,2.7005,2.6535
11/27/2019,2.6745,23246,2.6755,2.6905,2.6645
11/26/2019,2.6975,47218,2.6605,2.6985,2.6525
11/25/2019,2.662,43912,2.656,2.6815,2.648
11/22/2019,2.659,36826,2.6375,2.6625,2.629
11/21/2019,2.636,38663,2.659,2.659,2.6335
11/20/2019,2.6465,121,2.647,2.65,2.647
11/19/2019,2.6535,209,2.65,2.653,2.6425
11/18/2019,2.634,29258,2.652,2.6615,2.629
11/15/2019,2.635,327,2.634,2.634,2.6335
11/14/2019,2.635,27365,2.6485,2.6695,2.628
11/13/2019,2.6395,61585,2.635,2.6395,2.6335
11/12/2019,2.642,110,2.65,2.652,2.648
11/11/2019,2.664,51477,2.683,2.69,2.656
11/8/2019,2.678,46,2.698,2.698,2.679
11/7/2019,2.724,303,2.7185,2.7185,2.7185
11/6/2019,2.665,61835,2.6825,2.685,2.6605
11/5/2019,2.7005,91478,2.6655,2.7155,2.663
11/4/2019,2.671,52206,2.6625,2.677,2.6535
11/1/2019,2.651,571,2.636,2.656,2.63
10/31/2019,2.638,87972,2.681,2.6875,2.628
10/30/2019,2.6805,386,2.685,2.6865,2.675
10/29/2019,2.6915,50458,2.6825,2.693,2.682
10/28/2019,2.683,48189,2.685,2.689,2.6735
10/25/2019,2.6665,172,2.6775,2.6775,2.6775
10/24/2019,2.668,59517,2.669,2.6795,2.659
10/23/2019,2.6715,74596,2.6355,2.6745,2.6145
10/22/2019,2.633,45141,2.645,2.6505,2.6295
10/21/2019,2.6465,53101,2.6395,2.66,2.6305
10/18/2019,2.625,185,2.586,2.6265,2.585
10/17/2019,2.5975,52510,2.587,2.6175,2.577
10/16/2019,2.5895,53350,2.6125,2.613,2.573
10/15/2019,2.614,52573,2.632,2.6415,2.606
10/14/2019,2.634,57966,2.6275,2.6345,2.594
10/11/2019,2.628,70172,2.611,2.6385,2.606
10/10/2019,2.6135,75052,2.569,2.62,2.5475
10/9/2019,2.568,45518,2.5665,2.569,2.565
10/8/2019,2.5635,118,2.574,2.574,2.56
10/7/2019,2.577,47416,2.58,2.58,2.571
10/4/2019,2.5555,143,2.5325,2.5355,2.5325
10/3/2019,2.5535,49923,2.566,2.582,2.5385
10/2/2019,2.5615,194,2.5565,2.5615,2.5425
10/1/2019,2.5605,73579,2.574,2.577,2.515
9/30/2019,2.5785,47260,2.598,2.6185,2.5725
9/27/2019,2.5975,57822,2.577,2.613,2.5705
9/26/2019,2.5775,50887,2.6115,2.6185,2.5735
9/25/2019,2.612,54820,2.604,2.615,2.587
9/24/2019,2.5895,390,2.605,2.606,2.5855
9/23/2019,2.6115,60748,2.594,2.6195,2.5725
9/20/2019,2.59,277,2.593,2.6115,2.5695
9/19/2019,2.6085,41056,2.613,2.624,2.6035
9/18/2019,2.613,41752,2.625,2.638,2.5975
9/17/2019,2.627,55245,2.6425,2.6475,2.606
9/16/2019,2.621,275,2.621,2.6215,2.621
9/13/2019,2.681,160,2.6265,2.6835,2.6265
9/12/2019,2.6405,92874,2.618,2.668,2.59
9/11/2019,2.6145,51270,2.623,2.638,2.6005
9/10/2019,2.628,54561,2.6275,2.643,2.6025
9/9/2019,2.6275,45284,2.6315,2.633,2.6135
9/6/2019,2.6155,552,2.614,2.6245,2.602
9/5/2019,2.642,94748,2.5905,2.649,2.5875
9/4/2019,2.595,73691,2.529,2.5975,2.5275
9/3/2019,2.528,105470,2.5305,2.5605,2.482
8/30/2019,2.557,56850,2.575,2.5835,2.546
8/29/2019,2.5775,69468,2.569,2.597,2.553
8/28/2019,2.5645,69424,2.5545,2.5745,2.5455
8/27/2019,2.553,62495,2.5445,2.577,2.5355
8/26/2019,2.55,42991,2.525,2.557,2.499
8/23/2019,2.5375,52886,2.567,2.5835,2.532
8/22/2019,2.5535,236,2.575,2.575,2.573
8/21/2019,2.592,41325,2.583,2.597,2.5795
8/20/2019,2.584,21086,2.6055,2.6095,2.577
8/19/2019,2.608,21348,2.601,2.632,2.596
8/16/2019,2.595,39977,2.5935,2.6065,2.585
