Date,Close,Volume,Open,High,Low
12/17/2014,17.88,11527190.00,17.59,17.93,17.53
12/18/2014,18.42,12415970.00,18.08,18.43,18.02
12/19/2014,18.46,18558860.00,18.40,18.62,18.35
12/22/2014,18.41,10806910.00,18.49,18.69,18.28
12/23/2014,18.67,9664837.00,18.47,18.78,18.47
12/24/2014,18.75,5536189.00,18.72,18.89,18.71
12/26/2014,18.83,4895414.00,18.75,18.94,18.73
12/29/2014,18.83,7398786.00,18.77,18.92,18.69
12/30/2014,18.83,5759468.00,18.77,18.90,18.76
12/31/2014,18.56,7188422.00,18.85,18.88,18.55
1/2/2015,18.61,9811275.00,18.53,18.72,18.31
1/5/2015,18.30,10832950.00,18.41,18.54,18.16
1/6/2015,18.16,11969030.00,18.44,18.60,18.00
1/7/2015,18.38,10492420.00,18.29,18.39,18.15
1/8/2015,18.82,9811287.00,18.56,18.91,18.54
1/9/2015,18.81,9704411.00,18.89,19.01,18.60
1/12/2015,18.46,8935213.00,18.82,18.87,18.40
1/13/2015,18.41,11539070.00,18.48,18.81,18.25
1/14/2015,18.25,10369050.00,18.27,18.28,17.94
1/15/2015,17.66,13765010.00,18.25,18.33,17.66
1/16/2015,17.73,12977360.00,17.52,17.83,17.38
1/20/2015,17.86,10240230.00,17.78,17.99,17.63
1/21/2015,17.84,8391480.00,17.77,18.03,17.72
1/22/2015,18.53,11645520.00,18.00,18.54,17.84
1/23/2015,18.54,7120921.00,18.48,18.62,18.39
1/26/2015,17.96,11258740.00,18.38,18.38,17.89
1/27/2015,17.28,17200110.00,17.33,17.51,16.98
1/28/2015,17.19,10644330.00,17.50,17.63,17.16
1/29/2015,17.46,10151770.00,17.25,17.53,17.00
1/30/2015,16.71,17463510.00,17.31,17.34,16.68
2/2/2015,16.87,15450340.00,16.77,16.91,16.39
2/3/2015,17.47,14595660.00,16.98,17.48,16.98
2/4/2015,17.53,10479720.00,17.40,17.71,17.40
2/5/2015,17.55,6303943.00,17.56,17.66,17.48
2/6/2015,17.55,8370573.00,17.55,17.88,17.50
2/9/2015,17.41,7958926.00,17.50,17.50,17.26
2/10/2015,17.53,7781449.00,17.53,17.72,17.42
2/11/2015,17.66,7953389.00,17.53,17.78,17.52
2/12/2015,17.75,9184265.00,17.78,17.97,17.68
2/13/2015,17.84,6630425.00,17.71,17.84,17.64
2/17/2015,17.82,7569925.00,17.83,17.97,17.72
2/18/2015,17.65,8246267.00,17.84,17.84,17.53
2/19/2015,17.75,5732249.00,17.65,17.76,17.50
2/20/2015,17.76,7518526.00,17.73,17.80,17.50
2/23/2015,17.66,9947485.00,17.80,17.81,17.54
2/24/2015,17.80,15849370.00,17.69,17.90,17.58
2/25/2015,16.04,62841570.00,16.36,16.51,15.92
2/26/2015,15.73,32501750.00,15.96,16.03,15.58
2/27/2015,16.11,29499580.00,15.72,16.18,15.69
3/2/2015,16.15,15717080.00,16.14,16.25,15.96
3/3/2015,15.99,13657460.00,16.15,16.21,15.93
3/4/2015,15.81,15491670.00,15.93,15.95,15.73
3/5/2015,15.73,18224700.00,15.86,15.88,15.65
3/6/2015,15.35,17410370.00,15.63,15.70,15.31
3/9/2015,15.24,14136110.00,15.28,15.31,15.09
3/10/2015,15.11,16597860.00,15.36,15.36,15.03
3/11/2015,15.08,13737130.00,15.25,15.25,14.99
3/12/2015,15.13,26252340.00,14.63,15.17,14.57
3/13/2015,15.00,14723800.00,15.07,15.07,14.80
3/16/2015,14.98,12498070.00,14.99,15.13,14.89
3/17/2015,15.00,10407260.00,14.93,15.02,14.89
3/18/2015,15.28,13818280.00,14.97,15.34,14.88
3/19/2015,15.19,11770840.00,15.24,15.28,15.09
3/20/2015,15.39,24925570.00,15.20,15.53,15.20
3/23/2015,15.47,12723760.00,15.40,15.61,15.37
3/24/2015,15.41,11095310.00,15.46,15.50,15.31
3/25/2015,14.89,11311090.00,15.46,15.50,14.89
3/26/2015,14.81,13707930.00,14.76,15.08,14.60
3/27/2015,14.57,19630640.00,14.90,14.95,14.35
3/30/2015,14.60,11118260.00,14.75,14.79,14.56
3/31/2015,14.41,13720840.00,14.47,14.55,14.36
4/1/2015,14.47,15514610.00,14.73,14.74,14.44
4/2/2015,14.52,8527721.00,14.48,14.69,14.44
4/6/2015,14.72,9231070.00,14.37,14.75,14.34
4/7/2015,14.53,8444208.00,14.68,14.71,14.53
4/8/2015,14.58,11664690.00,14.57,14.79,14.39
4/9/2015,14.59,7544200.00,14.59,14.69,14.51
4/10/2015,14.85,15455430.00,14.64,14.90,14.49
4/13/2015,15.13,19692050.00,14.85,15.19,14.75
4/14/2015,15.04,11313470.00,15.12,15.13,14.82
4/15/2015,15.28,11184580.00,15.14,15.39,15.09
4/16/2015,15.18,7559154.00,15.24,15.34,15.17
4/17/2015,15.05,10636740.00,15.06,15.17,14.95
4/20/2015,15.45,10697980.00,15.09,15.47,15.09
4/21/2015,15.36,9342433.00,15.49,15.55,15.23
4/22/2015,15.50,9068332.00,15.40,15.56,15.28
4/23/2015,15.44,8597956.00,15.36,15.59,15.32
4/24/2015,15.38,7564594.00,15.61,15.61,15.33
4/27/2015,15.30,8382452.00,15.44,15.44,15.26
4/28/2015,15.37,8903204.00,15.35,15.37,15.14
4/29/2015,15.41,8639309.00,15.33,15.52,15.21
4/30/2015,15.25,10494300.00,15.41,15.48,15.19
5/1/2015,15.63,11584540.00,15.36,15.69,15.36
5/4/2015,15.56,5049095.00,15.63,15.68,15.53
5/5/2015,15.34,8725534.00,15.47,15.57,15.23
5/6/2015,15.03,8449920.00,15.35,15.44,14.92
5/7/2015,15.18,7744199.00,15.01,15.26,14.93
5/8/2015,15.45,7557260.00,15.35,15.50,15.25
5/11/2015,15.59,9970373.00,15.45,15.64,15.42
5/12/2015,15.23,9016662.00,15.41,15.43,15.22
5/13/2015,15.40,6255838.00,15.27,15.49,15.25
5/14/2015,15.59,6111020.00,15.50,15.60,15.45
5/15/2015,15.54,9712984.00,15.54,15.60,15.40
5/18/2015,15.38,8745130.00,15.49,15.50,15.27
5/19/2015,15.45,7673709.00,15.37,15.49,15.36
5/20/2015,15.30,11999540.00,15.45,15.47,15.16
5/21/2015,15.65,13327740.00,15.31,15.70,15.27
5/22/2015,16.08,28557370.00,15.85,16.47,15.85
5/26/2015,15.44,16944740.00,15.94,16.01,15.38
5/27/2015,15.62,13814780.00,15.56,15.64,15.37
5/28/2015,15.56,6860111.00,15.59,15.68,15.48
5/29/2015,15.45,12386240.00,15.55,15.59,15.38
6/1/2015,15.62,9252074.00,15.45,15.72,15.41
6/2/2015,15.67,9830861.00,15.57,15.86,15.42
