Date,Close,Volume,Open,High,Low
12/15/2014,1214.9,1233,1210,1214.5,1206.3
12/16/2014,1214.9,170,1210,1214.5,1209.4
12/17/2014,1199.5,14688,1201.3,1206.6,1189.2
12/18/2014,1197.1,14449,1194.5,1214.9,1193.1
12/19/2014,1197,13002,1201.4,1204,1195.4
12/22/2014,1182.8, N/A,1182.8,1182.8,1182.8
12/23/2014,1192.8,8337,1180.9,1195.4,1180.9
12/24/2014,1192.3,5541,1193.8,1195,1187
12/26/2014,1219.9,4347,1192.9,1221,1191.2
12/29/2014,1202.7, N/A,1203.8,1202.7,1202.7
12/30/2014,1219.3,7707,1202.2,1224.3,1199.5
12/31/2014,1209.5,5186,1218,1220.4,1203.3
1/2/2015,1203.9,7125,1209.5,1216,1187.7
1/5/2015,1210.9, N/A,1210.9,1210.9,1210.9
1/6/2015,1221.4, N/A,1221.4,1221.4,1221.4
1/7/2015,1220.9, N/A,1220.9,1220.9,1220.9
1/8/2015,1223,6172,1219.7,1227.9,1215.9
1/9/2015,1230.1,6936,1219.3,1234.3,1218.5
1/12/2015,1241, N/A,1247.1,1241,1241
1/13/2015,1247.8, N/A,1247.8,1247.8,1247.8
1/14/2015,1239, N/A,1236,1239,1239
1/15/2015,1262.8, N/A,1262.8,1262.8,1262.8
1/16/2015,1269.4,15131,1258.6,1272.3,1254.3
1/20/2015,1286.6, N/A,1286.6,1286.6,1286.6
1/21/2015,1276.4, N/A,1276.4,1276.4,1276.4
1/22/2015,1284.8, N/A,1284.8,1284.8,1284.8
1/23/2015,1268.7,10350,1286.4,1286.4,1265.4
1/26/2015,1255, N/A,1255,1255,1255
1/27/2015,1264.3, N/A,1277.4,1264.3,1264.3
1/28/2015,1258.5, N/A,1258.5,1258.5,1258.5
1/29/2015,1217.3,16119,1254.5,1258.6,1212.8
1/30/2015,1238.2,11080,1222.3,1244.1,1217.7
2/2/2015,1228.6,8357,1240.5,1241.9,1223.8
2/3/2015,1235.2,9705,1226.4,1242.7,1222.9
2/4/2015,1238.9,7742,1234.3,1247.8,1231.9
2/5/2015,1249.7,9065,1243.9,1257.5,1230.2
2/6/2015,1221.6,13427,1254.4,1258.7,1220
2/9/2015,1220.4,10750,1223.5,1231.3,1210
2/10/2015,1207.3,8649,1216.8,1225.7,1204.5
2/11/2015,1195.6,8828,1208.4,1214.1,1193
2/12/2015,1200.5,8632,1194.2,1207.5,1194.1
2/13/2015,1207.5,6796,1200.4,1215,1196.9
2/17/2015,1177,15585,1208.3,1217.9,1168.3
2/18/2015,1167.2,10590,1177.6,1183.4,1163.1
2/19/2015,1172.3,10049,1172.2,1184.9,1164
2/20/2015,1169.5,10157,1171,1175.2,1156.5
2/23/2015,1162.9,8826,1165.6,1172.6,1155.5
2/24/2015,1162.6,7440,1163.7,1169,1155
2/25/2015,1168.8,9560,1163.5,1177.2,1164
2/26/2015,1173.6,11241,1171.6,1192.6,1171
2/27/2015,1185.6,10599,1175,1191.8,1167.3
3/2/2015,1189.9,11677,1185.1,1193.9,1182.7
3/3/2015,1189.6,10748,1188,1196.8,1177.5
3/4/2015,1181.7, N/A,1181.7,1181.7,1181.7
3/5/2015,1180.1,9262,1182.5,1192.7,1177.9
3/6/2015,1158.8,12296,1179.6,1183.3,1157
3/9/2015,1148.6,12103,1161,1162.9,1146.3
3/10/2015,1130,16071,1148.5,1151.6,1128.1
3/11/2015,1115.4,14519,1130,1136.7,1113.8
3/12/2015,1114.9,11330,1119.8,1131.9,1112.5
3/13/2015,1115.2,10238,1115.6,1124.4,1112.9
3/16/2015,1107.9,10015,1118,1121.5,1105
3/17/2015,1093.7,15652,1108.5,1109.4,1086.7
3/18/2015,1092.6,14527,1095.3,1122.4,1087.6
3/19/2015,1119.6,14477,1118.3,1133,1111.4
3/20/2015,1141.2,16933,1124.4,1144,1119.3
3/23/2015,1144.5,13067,1138.4,1149.5,1134.1
3/24/2015,1141.5,16174,1147,1149,1132.2
3/25/2015,1147.3,12875,1142.4,1152.6,1136.3
3/26/2015,1154.6,10362,1145,1164.8,1142
3/27/2015,1140.5,15626,1152.7,1154.6,1136.5
3/30/2015,1117.4,13324,1140.5,1141.2,1114.7
3/31/2015,1143.4,12671,1120,1144.6,1115.2
4/1/2015,1166,12855,1142.7,1169.6,1133.3
4/2/2015,1154.5,8441,1164.4,1166,1150.4
4/6/2015,1180.4,8538,1163,1188.2,1161
4/7/2015,1173.9,8360,1177.9,1178,1164.7
4/8/2015,1166.3,6951,1172,1178,1161.1
4/9/2015,1157,5083,1167,1167.4,1155.2
4/10/2015,1170.6,7893,1158.7,1177.6,1155.6
4/13/2015,1153.9,10119,1173,1175.3,1149.1
4/14/2015,1153.7,8239,1154,1160.9,1141.2
4/15/2015,1156.6,8077,1153,1165,1147
4/16/2015,1159.2,10154,1162.5,1175.6,1153.4
4/17/2015,1167.5,6064,1161.1,1172.8,1159.8
4/20/2015,1148.8,11140,1170.9,1172.8,1143.4
4/21/2015,1152.5,9027,1148.8,1159.8,1145.4
4/22/2015,1129.7,13013,1149.6,1152,1128.6
4/23/2015,1136.7,8890,1129.5,1139.9,1126.4
4/24/2015,1121.4,9018,1137.8,1138.3,1118.3
4/27/2015,1153.4,16923,1126,1154.8,1117.6
4/28/2015,1158.6,11107,1146.1,1161,1140.7
4/29/2015,1161.5,8153,1156.6,1164,1151.1
4/30/2015,1140.4,13128,1143.7,1156,1131
5/1/2015,1129.7,9144,1145,1145.5,1126.3
5/4/2015,1150.9,7810,1131.9,1154.3,1128.3
5/5/2015,1148.8,7948,1148.2,1158,1141.5
5/6/2015,1142.8,8041,1146.7,1150.6,1136.4
5/7/2015,1131.4,9445,1132.8,1147.1,1130.3
5/8/2015,1143.5,7423,1132.4,1145.7,1130.5
5/11/2015,1127.3,8979,1140.5,1143.5,1122.6
