Date,Close
12/17/2014,70.35
12/18/2014,71.44
12/19/2014,72.40
12/22/2014,71.85
12/24/2014,73.20
12/25/2014,73.28
12/26/2014,73.56
12/29/2014,73.17
12/30/2014,71.58
1/5/2015,71.78
1/6/2015,69.54
1/7/2015,70.12
1/8/2015,70.66
1/9/2015,70.60
1/13/2015,70.15
1/14/2015,69.21
1/15/2015,70.69
1/16/2015,69.56
1/19/2015,70.46
1/20/2015,70.85
1/21/2015,70.82
1/22/2015,70.63
1/23/2015,71.64
1/26/2015,72.01
1/27/2015,73.30
1/28/2015,72.82
1/29/2015,71.74
1/30/2015,71.42
2/2/2015,71.40
2/3/2015,69.82
2/4/2015,71.70
2/5/2015,71.35
2/6/2015,71.94
2/9/2015,72.39
2/10/2015,72.52
2/12/2015,73.73
2/13/2015,73.71
2/16/2015,72.98
2/17/2015,72.40
2/18/2015,73.30
2/19/2015,74.57
2/20/2015,74.90
2/23/2015,74.73
2/24/2015,74.34
2/25/2015,74.25
2/26/2015,74.62
2/27/2015,74.65
3/2/2015,75.09
3/3/2015,75.04
3/4/2015,73.58
3/5/2015,73.43
3/6/2015,74.85
3/9/2015,74.14
3/10/2015,73.00
3/11/2015,72.70
3/12/2015,73.09
3/13/2015,72.95
3/16/2015,73.42
3/17/2015,74.58
3/18/2015,74.68
3/19/2015,73.60
3/20/2015,74.02
3/23/2015,74.62
3/24/2015,73.26
3/25/2015,74.29
3/26/2015,73.38
3/27/2015,72.82
3/30/2015,71.58
3/31/2015,71.44
4/1/2015,69.55
4/2/2015,70.46
4/3/2015,70.08
4/6/2015,69.31
4/7/2015,71.31
4/8/2015,72.27
4/9/2015,71.97
4/10/2015,71.23
4/13/2015,70.49
4/14/2015,69.70
4/15/2015,69.62
4/16/2015,69.70
4/17/2015,69.16
4/20/2015,68.65
4/21/2015,69.89
4/22/2015,70.68
4/23/2015,70.58
4/24/2015,70.74
4/27/2015,70.93
4/28/2015,71.97
4/30/2015,66.93
5/1/2015,67.24
5/7/2015,67.43
5/8/2015,68.14
5/11/2015,67.88
5/12/2015,66.35
5/13/2015,67.09
5/14/2015,65.95
5/15/2015,67.22
5/18/2015,67.25
5/19/2015,67.48
5/20/2015,68.11
5/21/2015,68.52
5/22/2015,68.77
5/25/2015,68.99
5/26/2015,69.00
5/27/2015,68.79
5/28/2015,69.89
5/29/2015,69.14
6/1/2015,68.86
6/2/2015,68.50
6/3/2015,68.34
6/4/2015,68.52
6/5/2015,69.17
6/8/2015,69.35
